test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,implied_probability,price_ratio,probability_uncertainty,relative_dispersion,log_odds,probability_squared,odds_probability_interaction,reference_depth_inverse,raw_net_odds_gap_pct,outcome_odds_band,outcome_source_type,source_odds_band,predicted_closing_edge_pct,lower_closing_edge_pct,stake,estimated_probability_from_lower_clv,staking_probability_profile,decision_frozen_before_closing_and_result,closing_probability,closing_fair_odds,closing_edge_pct,positive_clv,actual_outcome,won,profit
2024-10,data\historical_csv\football-data\2425\P1.csv:66,data\historical_csv\football-data\2425\P1.csv,66,2024-10-05,P1,Gil Vicente,Estrela,away,0.2225998594429205,0.21930084689106913,4.72645,4.9,3.6514487788293692,0.001299012551851365,6,0.025,BFE,4.0-5.0,exchange,0.21157528377534937,1.0521071056639915,0.0032990125518513602,0.005835639587115105,1.5531743921750678,0.04955069742400796,0.3457364013885136,0.16666666666666666,3.6718890499211954,away:4.0-5.0,away:exchange,exchange:4.0-5.0,3.200147440711195,3.200147440711195,0.11,0.22037220261781904,training_market_platt,True,0.22607985129129177,4.4232159313991835,6.855511313572582,True,home,False,-0.11
2024-10,data\historical_csv\football-data\2425\D1.csv:50,data\historical_csv\football-data\2425\D1.csv,50,2024-10-05,D1,Union Berlin,Dortmund,draw,0.2755938001933965,0.269953107162787,3.7342,3.79,0.8058892767279113,0.0036406930306095682,6,0.0,1XB,3.0-4.0,sportsbook,0.26779497616624715,1.0291223686821813,0.005640693030609545,0.013210358970538273,1.3175336055490983,0.07595194270503776,0.36310409323578346,0.16666666666666666,1.4942959670076528,draw:3.0-4.0,draw:sportsbook,sportsbook:3.0-4.0,2.6866530339889545,2.6866530339889545,0.1,0.27505471732008857,training_market_platt,True,0.2672333390229479,3.7420480680149266,-0.2097265420508032,False,home,False,-0.1
2024-10,data\historical_csv\football-data\2425\T1.csv:71,data\historical_csv\football-data\2425\T1.csv,71,2024-10-06,T1,Ad. Demirspor,Samsunspor,draw,0.24561022303461755,0.2389319240805194,4.2487,4.4,1.5150065840902727,0.0046782989540981625,6,0.025,BFE,4.0-5.0,exchange,0.23536611198719606,1.0435241546071796,0.006678298954098161,0.019047655656575742,1.4466130537918354,0.06032438165911458,0.3553029547866019,0.16666666666666666,3.561089274366269,draw:4.0-5.0,draw:exchange,exchange:4.0-5.0,2.661969639017748,2.661969639017748,0.11,0.24407526457715784,training_market_platt,True,0.23982092354866757,4.169777954328772,1.892715788122401,True,away,False,-0.11
2024-10,data\historical_csv\football-data\2425\I2.csv:82,data\historical_csv\football-data\2425\I2.csv,82,2024-10-18,I2,Bari,Catanzaro,home,0.4974558652452777,0.4852933166979466,2.0780000000000003,2.1,0.8439512098333157,0.010162548547331089,6,0.0,WH,2.0-3.0,sportsbook,0.4812319538017324,1.033713287979687,0.012162548547331065,0.020429045584416418,0.7314058926770358,0.24746233786692787,0.3638421511871496,0.16666666666666666,1.0587102983637964,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,2.2911285375071264,2.2911285375071264,0.47,0.5053761371197686,training_market_platt,True,0.502354747412131,1.990625161106722,4.389316512240837,True,draw,False,-0.47
2024-10,data\historical_csv\football-data\2425\B1.csv:84,data\historical_csv\football-data\2425\B1.csv,84,2024-10-19,B1,Cercle Brugge,Dender,away,0.22722909284730264,0.22038720627450245,4.72645,4.9,4.164911109612213,0.004841886572800193,6,0.025,BFE,4.0-5.0,exchange,0.21157528377534937,1.0739869458881335,0.006841886572800188,0.021308391949854448,1.5531743921750678,0.05163306063620808,0.35292640816760135,0.16666666666666666,3.6718890499211954,away:4.0-5.0,away:exchange,exchange:4.0-5.0,4.6724683067444,4.6724683067444,0.17,0.22513504611337343,training_market_platt,True,0.24893632107012825,4.017091582703547,17.658507472190756,True,draw,False,-0.17
2024-10,data\historical_csv\football-data\2425\I2.csv:87,data\historical_csv\football-data\2425\I2.csv,87,2024-10-19,I2,Brescia,Sassuolo,away,0.3791160252276229,0.37249645923772834,2.764,2.8,2.958021333308114,0.004619565989894548,6,0.0,WH,2.0-3.0,sportsbook,0.36179450072358904,1.0478766937291495,0.006619565989894549,0.01218509818233334,1.0166789059054233,0.1437289605843916,0.3854392657396325,0.16666666666666666,1.302460202604916,away:2.0-3.0,away:sportsbook,sportsbook:2.0-3.0,4.188619019532184,4.188619019532184,0.32,0.382490244902825,training_market_platt,True,0.465978482538998,2.1460218389296752,28.79645257377903,True,away,True,0.56
2024-10,data\historical_csv\football-data\2425\F2.csv:79,data\historical_csv\football-data\2425\F2.csv,79,2024-10-19,F2,Amiens,Ajaccio,away,0.25500455665342336,0.23827458442479468,4.087,4.15,-2.617177345586419,0.014729972228628686,6,0.0,PS,4.0-5.0,sportsbook,0.24467824810374358,1.0422036230425413,0.01672997222862868,0.057763564784641036,1.4078112045821403,0.065027323914009,0.35899827207619056,0.16666666666666666,1.5414729630536028,away:4.0-5.0,away:sportsbook,sportsbook:4.0-5.0,3.565039781156507,3.565039781156507,0.12,0.2537713762304969,training_market_platt,True,0.19501211735790036,5.1278864798166754,-20.298547635826125,False,home,False,-0.12
2024-10,data\historical_csv\football-data\2425\E1.csv:112,data\historical_csv\football-data\2425\E1.csv,112,2024-10-19,E1,Luton,Watford,away,0.26243197858578554,0.24701902484792718,3.962049999999999,4.1,-2.1298272601270374,0.013412953737858356,6,0.025,BFE,3.0-4.0,exchange,0.2523945937078028,1.0397686207558114,0.015412953737858365,0.051110210768288054,1.3767615680856737,0.0688705433844502,0.36130626235359203,0.16666666666666666,3.481783420199158,away:3.0-4.0,away:exchange,exchange:3.0-4.0,1.3231483741385588,1.3231483741385588,0.12,0.26144428682042,training_market_platt,True,0.25000475858812593,3.9999238640391837,-0.9468646235915812,False,home,False,-0.12
2024-10,data\historical_csv\football-data\2425\T1.csv:78,data\historical_csv\football-data\2425\T1.csv,78,2024-10-20,T1,Sivasspor,Hatayspor,away,0.28296624195281916,0.2797797997531886,3.6754,3.8,2.830267601286929,0.0011864421996305185,6,0.025,BFE,3.0-4.0,exchange,0.27207922947162216,1.0400141256733915,0.003186442199630546,0.004192875416666635,1.301661970279187,0.0800698940849014,0.3683263960228037,0.16666666666666666,3.390107199216419,away:3.0-4.0,away:exchange,exchange:3.0-4.0,1.7442354204876394,1.7442354204876394,0.15,0.2826853517698916,training_market_platt,True,0.28553258127129705,3.502227295910081,4.944644920452501,True,home,False,-0.15
2024-10,data\historical_csv\football-data\2425\SP2.csv:116,data\historical_csv\football-data\2425\SP2.csv,116,2024-10-23,SP2,Cartagena,Elche,home,0.27084126875017706,0.2645258835968148,3.842,3.9,1.6308444778962317,0.004315385153362247,6,0.0,WH,3.0-4.0,sportsbook,0.2602811035918792,1.0405721545381803,0.006315385153362274,0.015933262952414914,1.345993064346365,0.07335499285820564,0.3645504692765082,0.16666666666666666,1.5096304008328953,home:3.0-4.0,home:sportsbook,sportsbook:3.0-4.0,4.043278906853452,4.043278906853452,0.13,0.27013829932457917,training_market_platt,True,0.2595040793277729,3.8535039703053213,-0.2985327222696399,False,draw,False,-0.13
