candidate_id,odds_source,window_start,window_end,bets,total_staked,profit,roi_pct,max_drawdown,active_bet_days,positive_months,negative_months,walk_forward_active_months,rule_contributions,active_rules,passes_window,fail_reasons,band_low,band_high
market-bias-i2-draw-2.90-3.30-plus-sp1-home-v1,AVG_CLOSE,2024-08,2025-07,97,970.0,29.2,3.01,110.0,40,3,2,5,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.90,3.30)', 'bets': 79, 'profit': 36.4, 'roi_pct': 4.61}, {'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 18, 'profit': -7.2, 'roi_pct': -4.0}]",2,False,['drawdown_to_profit>maximum'],2.9,3.3
market-bias-i2-draw-2.90-3.30-plus-sp1-home-v1,AVG_CLOSE,2025-02,2026-01,177,1770.0,-6.2,-0.35,176.2,63,5,2,7,"[{'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 12, 'profit': -1.1, 'roi_pct': -0.92}, {'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.90,3.30)', 'bets': 165, 'profit': -5.1, 'roi_pct': -0.31}]",2,False,"['profit<=0', 'roi<minimum', 'drawdown_to_profit>maximum']",2.9,3.3
market-bias-i2-draw-2.90-3.40-plus-sp1-home-v1,AVG_OPEN,2022-08,2023-07,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.9,3.4
market-bias-i2-draw-2.90-3.40-plus-sp1-home-v1,AVG_OPEN,2023-02,2024-01,28,280.0,-23.3,-8.32,95.1,12,0,1,1,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.90,3.40)', 'bets': 28, 'profit': -23.3, 'roi_pct': -8.32}]",1,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.9,3.4
market-bias-i2-draw-2.90-3.40-plus-sp1-home-v1,AVG_OPEN,2023-08,2024-07,70,700.0,16.8,2.4,103.7,45,2,3,5,"[{'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 42, 'profit': 40.1, 'roi_pct': 9.55}, {'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.90,3.40)', 'bets': 28, 'profit': -23.3, 'roi_pct': -8.32}]",2,False,"['roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.9,3.4
market-bias-i2-draw-2.90-3.40-plus-sp1-home-v1,AVG_OPEN,2024-02,2025-01,109,1090.0,104.7,9.61,73.7,53,3,3,6,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.90,3.40)', 'bets': 67, 'profit': 64.6, 'roi_pct': 9.64}, {'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 42, 'profit': 40.1, 'roi_pct': 9.55}]",2,False,['positive_month_edge<minimum'],2.9,3.4
market-bias-i2-draw-2.90-3.40-plus-sp1-home-v1,AVG_OPEN,2024-08,2025-07,170,1700.0,88.0,5.18,188.9,54,3,3,6,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.90,3.40)', 'bets': 170, 'profit': 88.0, 'roi_pct': 5.18}]",1,False,"['positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.9,3.4
market-bias-i2-draw-2.90-3.40-plus-sp1-home-v1,AVG_OPEN,2025-02,2026-01,171,1710.0,28.8,1.68,188.9,55,3,3,6,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.90,3.40)', 'bets': 171, 'profit': 28.8, 'roi_pct': 1.68}]",1,False,"['roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.9,3.4
market-bias-i2-draw-2.90-3.40-plus-sp1-home-v1,AVG_CLOSE,2022-08,2023-07,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.9,3.4
market-bias-i2-draw-2.90-3.40-plus-sp1-home-v1,AVG_CLOSE,2023-02,2024-01,63,630.0,-100.5,-15.95,192.2,22,0,2,2,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.90,3.40)', 'bets': 63, 'profit': -100.5, 'roi_pct': -15.95}]",1,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.9,3.4
market-bias-i2-draw-2.90-3.40-plus-sp1-home-v1,AVG_CLOSE,2023-08,2024-07,69,690.0,-116.5,-16.88,192.2,26,0,3,3,"[{'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 6, 'profit': -16.0, 'roi_pct': -26.67}, {'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.90,3.40)', 'bets': 63, 'profit': -100.5, 'roi_pct': -15.95}]",2,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.9,3.4
