test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,predicted_closing_edge_pct,lower_closing_edge_pct,stake,estimated_probability_from_lower_clv,decision_frozen_before_closing_and_result,closing_probability_x,closing_fair_odds_x,stake_policy,actual_outcome,closing_edge_pct,positive_clv,closing_probability_y,closing_fair_odds_y,won,profit
2025-05,data\historical_csv\football-data\2425\I2.csv:357,data\historical_csv\football-data\2425\I2.csv,357,2025-05-04,I2,Frosinone,Cittadella,draw,0.3406481124071761,0.3316241354207036,3.0874,3.13,2.385635569788036,0.0070239769864724,4,0.0,1XB,3.0-4.0,sportsbook,6.3409248793772415,4.520682790309636,0.22,0.3385394920979129,True,0.2831071293590924,3.5322317818835365,existing_one_tenth_kelly,draw,-12.593504881673812,False,0.2831071293590924,3.5322317818835365,True,0.46
2025-05,data\historical_csv\football-data\2425\F1.csv:285,data\historical_csv\football-data\2425\F1.csv,285,2025-05-04,F1,Nantes,Angers,draw,0.2869981482250794,0.2769135233591915,3.6558,3.71,1.234045869653233,0.0080846248658878,4,0.0,1XB,3.0-4.0,sportsbook,5.142918675604023,3.322676586536418,0.13,0.2826267207903508,True,0.2903154780990237,3.4445287125163544,existing_one_tenth_kelly,away,6.133532483441084,True,0.2903154780990237,3.4445287125163544,False,-0.13
2025-05,data\historical_csv\football-data\2425\I2.csv:364,data\historical_csv\football-data\2425\I2.csv,364,2025-05-09,I2,Juve Stabia,Reggiana,away,0.2591517628825479,0.2512014495509748,4.444700000000001,4.7,11.651508281921808,0.005950313331573,4,0.05,BFE,4.0-5.0,exchange,12.7932993069093,10.973057217841696,0.32,0.2496750224263542,True,0.2565953758740642,3.897186364304535,existing_one_tenth_kelly,away,14.048946714745348,True,0.2565953758740642,3.897186364304535,True,1.1
2025-05,data\historical_csv\football-data\2425\B1.csv:294,data\historical_csv\football-data\2425\B1.csv,294,2025-05-09,B1,Charleroi,Westerlo,home,0.5699947746942149,0.562688733272644,1.8918,1.91,6.449454560518797,0.0053060414215708,4,0.0,BF,1.5-2.0,sportsbook,6.854575018877232,5.034332929809627,0.56,0.5552084413247153,True,0.5727114884556629,1.746079867712338,existing_one_tenth_kelly,home,8.34555938604231,True,0.5727114884556629,1.746079867712338,True,0.5
2025-05,data\historical_csv\football-data\2425\I2.csv:365,data\historical_csv\football-data\2425\I2.csv,365,2025-05-09,I2,Mantova,Carrarese,away,0.262615804785069,0.2462658355492678,4.136,4.2,1.855549583177152,0.0143499692358012,4,0.0,B365,4.0-5.0,sportsbook,4.952185190790559,3.131943101722954,0.1,0.2493518933794075,True,0.2389299454640573,4.185327201484805,existing_one_tenth_kelly,home,-1.1785745560659031,False,0.2389299454640573,4.185327201484805,False,-0.1
2025-05,data\historical_csv\football-data\2425\SP1.csv:362,data\historical_csv\football-data\2425\SP1.csv,362,2025-05-18,SP1,Ath Madrid,Betis,home,0.4974630009062348,0.4937957087088681,2.0682,2.09,2.126828475168119,0.0016672921973667,4,0.0,1XB,2.0-3.0,sportsbook,2.844953048482604,1.024710959414999,0.1,0.4884668356997148,True,0.6222019001034922,1.6071953490236337,existing_one_tenth_kelly,home,28.683796979404264,True,0.6222019001034922,1.6071953490236337,True,0.11
2025-10,data\historical_csv\football-data\2526\F2.csv:77,data\historical_csv\football-data\2526\F2.csv,77,2025-10-03,F2,Guingamp,Nancy,away,0.3406356479880296,0.3366577039094627,3.499,3.55,17.796530597921013,0.0019779440785668,8,0.0,PS,3.0-4.0,sportsbook,14.665366652837582,14.665366652837582,0.59,0.327708964426515,True,0.3208196230930302,3.1170163170163168,existing_one_tenth_kelly,draw,12.254786120251282,True,0.3208196230930302,3.1170163170163168,False,-0.59
2025-10,data\historical_csv\football-data\2526\SP2.csv:80,data\historical_csv\football-data\2526\SP2.csv,80,2025-10-04,SP2,La Coruna,Almeria,away,0.2693843199429171,0.2627796960519159,3.94,4.0,3.5352002444548614,0.0046046238910011,8,0.0,B365,3.0-4.0,sportsbook,2.7995665065817708,2.7995665065817708,0.1,0.2609126053466543,True,0.2439520819958527,4.099165671465761,existing_one_tenth_kelly,draw,-3.8828796936340337,False,0.2439520819958527,4.099165671465761,False,-0.1
2025-10,data\historical_csv\football-data\2526\SP2.csv:86,data\historical_csv\football-data\2526\SP2.csv,86,2025-10-05,SP2,Santander,Malaga,away,0.2407814053107751,0.2315142899838795,4.5574,4.63,5.510322517253252,0.0072671153268956,8,0.0,PS,4.0-5.0,sportsbook,4.624787098669602,4.624787098669602,0.13,0.2295712184549735,True,0.2345025053686471,4.264346764346764,existing_one_tenth_kelly,home,6.872171796707227,True,0.2345025053686471,4.264346764346764,False,-0.13
2025-10,data\historical_csv\football-data\2526\P1.csv:70,data\historical_csv\football-data\2526\P1.csv,70,2025-10-05,P1,Arouca,Famalicao,home,0.2694978421476441,0.2647423018184841,3.8861,4.1,2.8815059096811035,0.00275554032916,8,0.05,BFE,3.0-4.0,exchange,3.115664956775229,3.115664956775229,0.11,0.2653448572007288,True,0.2300672476760581,4.346555235919679,existing_one_tenth_kelly,draw,-10.593566880607074,False,0.2300672476760581,4.346555235919679,False,-0.11
