date,league,home_team,away_team,outcome,actual_result,odds_bucket,probability,lower_ev,odds,stake,won,profit,rule_label,month
2024-04-27,E2,Peterboro,Bolton,away,draw,"[2.2,2.8)",0.438209,-0.041152,2.25,1.0,False,-1.0,"E2|away|[2.2,2.8)|ev>=-0.05",2024-04
2024-04-27,I2,Ternana,Ascoli,draw,away,"[2.8,3.5)",0.314409,-0.041565,3.2,1.0,False,-1.0,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-04
2024-04-27,E3,Milton Keynes Dons,Sutton,home,draw,"[1.8,2.2)",0.457795,-0.043887,2.15,1.0,False,-1.0,"E3|home|[1.8,2.2)|ev>=-0.05",2024-04
2024-04-27,I2,Brescia,Spezia,draw,draw,"[2.8,3.5)",0.323045,-0.044744,3.1,1.0,True,2.1,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-04
2024-04-27,E2,Fleetwood Town,Burton,away,home,"[2.2,2.8)",0.445871,-0.045604,2.2,1.0,False,-1.0,"E2|away|[2.2,2.8)|ev>=-0.05",2024-04
2024-05-05,I2,Pisa,Sudtirol,draw,draw,"[2.8,3.5)",0.3237,-0.042707,3.1,1.0,True,2.1,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-05
2024-05-05,I2,Cittadella,Bari,draw,draw,"[2.8,3.5)",0.332758,-0.046415,3.0,1.0,True,2.0,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-05
2024-08-17,I2,Pisa,Spezia,draw,draw,"[2.8,3.5)",0.318343,-0.032209,3.2,1.0,True,2.2,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-08
2024-08-17,I2,Sudtirol,Modena,draw,home,"[2.8,3.5)",0.335539,-0.04111,3.0,1.0,False,-1.0,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-08
2024-08-18,I2,Frosinone,Sampdoria,draw,draw,"[2.8,3.5)",0.318256,-0.032489,3.2,1.0,True,2.2,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-08
2024-08-18,I2,Reggiana,Mantova,draw,draw,"[2.8,3.5)",0.325751,-0.039488,3.1,1.0,True,2.1,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-08
2024-08-24,I2,Pisa,Palermo,draw,home,"[2.8,3.5)",0.323783,-0.045589,3.1,1.0,False,-1.0,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-08
2024-08-24,I2,Brescia,Cittadella,draw,away,"[2.8,3.5)",0.323131,-0.047611,3.1,1.0,False,-1.0,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-08
2024-08-27,I2,Reggiana,Brescia,draw,home,"[2.8,3.5)",0.33506,-0.042546,3.0,1.0,False,-1.0,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-08
2024-08-28,I2,Cosenza,Spezia,draw,draw,"[2.8,3.5)",0.312091,-0.037409,3.25,1.0,True,2.25,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-08
2024-09-01,I2,Frosinone,Juve Stabia,draw,draw,"[2.8,3.5)",0.314922,-0.043606,3.2,1.0,True,2.2,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-09
2024-09-14,E3,Gillingham,Tranmere,home,home,"[1.8,2.2)",0.530896,-0.04429,1.85,1.0,True,0.85,"E3|home|[1.8,2.2)|ev>=-0.05",2024-09
2024-09-14,I2,Brescia,Frosinone,draw,home,"[2.8,3.5)",0.305354,-0.045296,3.3,1.0,False,-1.0,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-09
2024-09-15,I2,Salernitana,Pisa,draw,away,"[2.8,3.5)",0.313323,-0.03386,3.25,1.0,False,-1.0,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-09
