test_month,date,league,match,outcome,probability,conservative_probability,odds,conservative_ev,execution_bookmaker,reference_bookmakers,reference_dispersion,stake,actual_outcome,profit,won,source_file,source_row
2025-11,2025-11-22,E3,Tranmere v Milton Keynes Dons,home,0.32884825622230934,0.32207874166469086,3.2,0.0100389338604705,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.001769514557618469,0.35,draw,-0.35,False,data\historical_csv\football-data\2526\E3.csv,205
2025-11,2025-11-23,B1,Antwerp v Dender,away,0.2419339362135399,0.22478978032090907,5.2,0.1455287205153526,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.012144155892630825,1.01,away,4.24,True,data\historical_csv\football-data\2526\B1.csv,119
2025-11,2025-11-23,B1,RAAL La Louviere v Anderlecht,home,0.23964990356162183,0.23175461102654515,4.5,0.022037834627064212,BFE,"['B365', 'BFD', 'BMGM', 'BW', 'CL', 'LB']",0.0028952925350766785,0.31,away,-0.31,False,data\historical_csv\football-data\2526\B1.csv,120
2025-11,2025-11-23,SP2,Cadiz v Cultural Leonesa,away,0.23096922862616753,0.21965999159710337,4.71,0.013906589213909637,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.006309237029064173,0.23,away,0.85,True,data\historical_csv\football-data\2526\SP2.csv,161
2025-11,2025-11-25,E2,Peterboro v Stevenage,home,0.3814568809691414,0.3735333921484713,3.5,0.28121953506925657,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.002923488820670054,3.07,away,-3.07,False,data\historical_csv\football-data\2526\E2.csv,195
2025-11,2025-11-25,E2,Luton v Huddersfield,away,0.29404250049458797,0.27993718087983893,3.78,0.036999292851275234,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.009105319614749056,0.52,home,-0.52,False,data\historical_csv\football-data\2526\E2.csv,194
2025-11,2025-11-28,T1,Kocaelispor v Genclerbirligi,away,0.23313389531307283,0.21716072215948512,4.8,0.021524037038217925,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.010973173153587692,0.28,home,-0.28,False,data\historical_csv\football-data\2526\T1.csv,119
2025-11,2025-11-29,T1,Rizespor v Kayserispor,away,0.25252646549265173,0.24334260553343923,4.5,0.07314089040246685,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.004183859959212505,0.68,away,2.38,True,data\historical_csv\football-data\2526\T1.csv,120
2025-11,2025-11-29,B1,Charleroi v RAAL La Louviere,away,0.213769604361221,0.20609964280531004,5.3,0.07048154473078028,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0026699615559109676,0.54,draw,-0.54,False,data\historical_csv\football-data\2526\B1.csv,125
2025-11,2025-11-29,E3,Shrewsbury v Gillingham,home,0.3894132408376038,0.38421889845524826,2.75,0.03546993133689402,BMGM,"['B365', 'BFD', 'BFE', 'BV', 'BW', 'CL', 'LB']",0.00019434238235555747,0.81,draw,-0.81,False,data\historical_csv\football-data\2526\E3.csv,216
2025-11,2025-11-29,E2,Wigan v Stevenage,away,0.29782244723323775,0.2873467236011952,3.6,0.013759240865016675,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.005475723632042594,0.33,draw,-0.33,False,data\historical_csv\football-data\2526\E2.csv,207
