combo_id,window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2022-10,2023-09,155,155.0,48.7,31.42,7.19,8,2,True
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2023-04,2024-03,174,174.0,24.41,14.03,11.33,7,4,True
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2023-10,2024-09,188,188.0,6.22,3.31,13.16,7,4,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2024-04,2025-03,204,204.0,30.24,14.82,10.45,8,3,True
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2024-10,2025-09,217,217.0,6.94,3.2,15.51,5,6,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2025-04,2026-03,156,156.0,-6.48,-4.15,16.51,4,5,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)",2013-04,2014-03,108,108.0,-12.71,-11.77,26.39,4,7,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)",2013-10,2014-09,119,119.0,-0.63,-0.53,16.38,3,8,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)",2014-04,2015-03,116,116.0,13.83,11.92,13.95,5,6,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)",2014-10,2015-09,120,120.0,2.39,1.99,15.42,5,6,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)",2015-04,2016-03,132,132.0,4.38,3.32,14.42,6,5,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)",2015-10,2016-09,121,121.0,28.3,23.39,8.46,8,2,True
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)",2016-04,2017-03,116,116.0,32.52,28.03,7.55,8,2,True
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)",2016-10,2017-09,139,139.0,20.55,14.78,10.0,6,4,True
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)",2017-04,2018-03,139,139.0,14.82,10.66,9.0,6,4,True
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)",2017-10,2018-09,121,121.0,40.88,33.79,6.55,9,2,True
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)",2018-04,2019-03,123,123.0,24.85,20.2,13.95,7,4,True
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)",2018-10,2019-09,125,125.0,-15.6,-12.48,20.75,4,7,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)",2019-04,2020-03,125,125.0,-8.75,-7.0,19.01,5,6,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)",2019-10,2020-09,128,128.0,5.65,4.41,13.4,5,4,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)",2020-04,2021-03,136,136.0,19.55,14.38,12.76,5,5,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)",2020-10,2021-09,131,131.0,10.19,7.78,18.84,5,6,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)",2021-04,2022-03,116,116.0,-11.4,-9.83,18.84,3,7,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)",2021-10,2022-09,106,106.0,-8.57,-8.08,15.68,3,7,False
