month,decision,reason,prior_candidates,candidate_count,probability_validation,selected,mean_predicted_ev
2020-11,ABSTAIN,model_did_not_beat_market_on_prior_validation,1812.0,90.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1281, 'validation_rows': 531, 'market': {'matches': 177, 'log_loss': 0.960861, 'brier': 0.568386}, 'model': {'matches': 177, 'log_loss': 0.967043, 'brier': 0.572411}, 'log_loss_improvement': -0.006182, 'brier_improvement': -0.004025}",,
2020-12,ABSTAIN,model_did_not_beat_market_on_prior_validation,1782.0,99.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1161, 'validation_rows': 621, 'market': {'matches': 207, 'log_loss': 0.960654, 'brier': 0.568916}, 'model': {'matches': 207, 'log_loss': 0.969131, 'brier': 0.574266}, 'log_loss_improvement': -0.008477, 'brier_improvement': -0.00535}",,
2021-01,ABSTAIN,no_candidates,,,,,
2021-02,ABSTAIN,no_candidates,,,,,
2021-03,ABSTAIN,no_candidates,,,,,
2021-04,ABSTAIN,no_candidates,,,,,
2021-05,INVEST,,1521.0,123.0,"{'passed': True, 'reason': None, 'fit_rows': 1332, 'validation_rows': 189, 'market': {'matches': 63, 'log_loss': 0.949962, 'brier': 0.564146}, 'model': {'matches': 63, 'log_loss': 0.932804, 'brier': 0.555526}, 'log_loss_improvement': 0.017158, 'brier_improvement': 0.00862}",7.0,0.0447
2021-06,INVEST,,1572.0,102.0,"{'passed': True, 'reason': None, 'fit_rows': 1350, 'validation_rows': 222, 'market': {'matches': 74, 'log_loss': 0.968968, 'brier': 0.574173}, 'model': {'matches': 74, 'log_loss': 0.956469, 'brier': 0.567266}, 'log_loss_improvement': 0.012499, 'brier_improvement': 0.006907}",7.0,0.0381
2021-07,ABSTAIN,model_did_not_beat_market_on_prior_validation,1671.0,99.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1446, 'validation_rows': 225, 'market': {'matches': 75, 'log_loss': 0.999061, 'brier': 0.595372}, 'model': {'matches': 75, 'log_loss': 1.002437, 'brier': 0.596739}, 'log_loss_improvement': -0.003376, 'brier_improvement': -0.001367}",,
2021-08,INVEST,,1770.0,84.0,"{'passed': True, 'reason': None, 'fit_rows': 1446, 'validation_rows': 324, 'market': {'matches': 108, 'log_loss': 1.009593, 'brier': 0.603564}, 'model': {'matches': 108, 'log_loss': 1.008988, 'brier': 0.603514}, 'log_loss_improvement': 0.000605, 'brier_improvement': 5e-05}",7.0,0.0414
2021-09,INVEST,,1854.0,72.0,"{'passed': True, 'reason': None, 'fit_rows': 1446, 'validation_rows': 408, 'market': {'matches': 136, 'log_loss': 0.991891, 'brier': 0.591195}, 'model': {'matches': 136, 'log_loss': 0.989965, 'brier': 0.590319}, 'log_loss_improvement': 0.001926, 'brier_improvement': 0.000876}",5.0,0.0289
2021-10,ABSTAIN,model_did_not_beat_market_on_prior_validation,1905.0,120.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1425, 'validation_rows': 480, 'market': {'matches': 160, 'log_loss': 1.007258, 'brier': 0.602141}, 'model': {'matches': 160, 'log_loss': 1.008416, 'brier': 0.602977}, 'log_loss_improvement': -0.001158, 'brier_improvement': -0.000836}",,
2021-11,INVEST,,1920.0,72.0,"{'passed': True, 'reason': None, 'fit_rows': 1320, 'validation_rows': 600, 'market': {'matches': 200, 'log_loss': 0.997794, 'brier': 0.595291}, 'model': {'matches': 200, 'log_loss': 0.996925, 'brier': 0.594884}, 'log_loss_improvement': 0.000869, 'brier_improvement': 0.000407}",5.0,0.036
2021-12,INVEST,,1884.0,51.0,"{'passed': True, 'reason': None, 'fit_rows': 1335, 'validation_rows': 549, 'market': {'matches': 183, 'log_loss': 1.008508, 'brier': 0.604434}, 'model': {'matches': 183, 'log_loss': 1.005636, 'brier': 0.603656}, 'log_loss_improvement': 0.002872, 'brier_improvement': 0.000778}",2.0,0.0674
2022-01,ABSTAIN,no_candidates,,,,,
2022-02,ABSTAIN,no_candidates,,,,,
2022-03,ABSTAIN,no_candidates,,,,,
2022-04,INVEST,,1617.0,102.0,"{'passed': True, 'reason': None, 'fit_rows': 1374, 'validation_rows': 243, 'market': {'matches': 81, 'log_loss': 1.000785, 'brier': 0.601674}, 'model': {'matches': 81, 'log_loss': 0.993622, 'brier': 0.600083}, 'log_loss_improvement': 0.007163, 'brier_improvement': 0.001591}",6.0,0.0461
2022-05,ABSTAIN,model_did_not_beat_market_on_prior_validation,1647.0,123.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1422, 'validation_rows': 225, 'market': {'matches': 75, 'log_loss': 1.010581, 'brier': 0.608147}, 'model': {'matches': 75, 'log_loss': 1.013446, 'brier': 0.61175}, 'log_loss_improvement': -0.002865, 'brier_improvement': -0.003603}",,
2022-06,ABSTAIN,model_did_not_beat_market_on_prior_validation,1698.0,45.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1422, 'validation_rows': 276, 'market': {'matches': 92, 'log_loss': 1.015495, 'brier': 0.6132}, 'model': {'matches': 92, 'log_loss': 1.016537, 'brier': 0.615823}, 'log_loss_improvement': -0.001042, 'brier_improvement': -0.002623}",,
2022-07,ABSTAIN,model_did_not_beat_market_on_prior_validation,1713.0,114.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1443, 'validation_rows': 270, 'market': {'matches': 90, 'log_loss': 1.026124, 'brier': 0.616643}, 'model': {'matches': 90, 'log_loss': 1.032749, 'brier': 0.619955}, 'log_loss_improvement': -0.006625, 'brier_improvement': -0.003312}",,
2022-08,ABSTAIN,model_did_not_beat_market_on_prior_validation,1827.0,96.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1443, 'validation_rows': 384, 'market': {'matches': 128, 'log_loss': 0.993216, 'brier': 0.5928}, 'model': {'matches': 128, 'log_loss': 0.993953, 'brier': 0.592681}, 'log_loss_improvement': -0.000737, 'brier_improvement': 0.000119}",,
2022-09,ABSTAIN,no_positive_feature_edge,1923.0,72.0,"{'passed': True, 'reason': None, 'fit_rows': 1443, 'validation_rows': 480, 'market': {'matches': 160, 'log_loss': 0.971133, 'brier': 0.577437}, 'model': {'matches': 160, 'log_loss': 0.970193, 'brier': 0.576919}, 'log_loss_improvement': 0.00094, 'brier_improvement': 0.000518}",0.0,0.0
2022-10,ABSTAIN,model_did_not_beat_market_on_prior_validation,1995.0,120.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1443, 'validation_rows': 552, 'market': {'matches': 184, 'log_loss': 0.962322, 'brier': 0.571565}, 'model': {'matches': 184, 'log_loss': 0.963845, 'brier': 0.57258}, 'log_loss_improvement': -0.001523, 'brier_improvement': -0.001015}",,
