month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,estimator_profile,maximum_odds,validation_rmse_pct,outcome_probability_validation_brier,market_probability_validation_brier,outcome_probability_weight,average_closing_edge_pct,positive_clv_rate,outcome_counts
2024-01,2023-01-01..2023-12-31,FROZEN_MODEL_EVALUATED,4994,1,1,0.12,-0.12,-100.0,3100.0,394.0,10.0,0.0,ridge,5.0,7.9898,,,0.0,8.1436,1.0,{'draw': 1}
2024-02,2023-02-01..2024-01-31,FROZEN_MODEL_EVALUATED,4888,3,3,0.39,0.78,200.0,2900.0,496.0,10.0,0.0,ridge,5.0,8.0558,,,0.0,7.657,0.6667,"{'home': 2, 'away': 1}"
2024-03,2023-03-01..2024-02-29,FROZEN_MODEL_EVALUATED,4824,2,2,0.29,0.16,55.17,3100.0,448.0,100.0,0.0,ridge,5.0,7.8771,,,0.0,22.2569,1.0,"{'home': 1, 'away': 1}"
2024-04,2023-04-01..2024-03-31,ABSTAIN_INNER_VALIDATION,4835,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
2024-05,2023-05-01..2024-04-30,ABSTAIN_INNER_VALIDATION,4735,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2024-08,2023-08-01..2024-07-31,FROZEN_MODEL_EVALUATED,4513,58,15,7.58,-0.79,-10.42,3100.0,396.0,100.0,0.0,ridge,5.0,8.6702,,,0.0,1.1524,0.5345,"{'away': 32, 'draw': 8, 'home': 18}"
2024-09,2023-09-01..2024-08-31,FROZEN_MODEL_EVALUATED,4521,7,5,0.95,-0.09,-9.47,3000.0,475.0,100.0,0.0,ridge,5.0,9.2188,,,0.0,6.2806,0.8571,"{'home': 1, 'draw': 5, 'away': 1}"
2024-10,2023-10-01..2024-09-30,FROZEN_MODEL_EVALUATED,4460,6,4,1.08,-0.3,-27.78,3100.0,480.0,100.0,0.0,ridge,5.0,9.3313,,,0.0,5.3511,0.6667,"{'draw': 2, 'away': 4}"
2024-11,2023-11-01..2024-10-31,FROZEN_MODEL_EVALUATED,4456,6,3,0.83,0.18,21.69,3000.0,461.0,100.0,0.0,ridge,5.0,9.3353,,,0.0,4.7243,0.8333,"{'draw': 5, 'away': 1}"
2024-12,2023-12-01..2024-11-30,FROZEN_MODEL_EVALUATED,4546,3,2,0.45,0.96,213.33,3100.0,531.0,100.0,0.0,ridge,5.0,8.8898,,,0.0,5.9011,0.6667,"{'draw': 1, 'home': 1, 'away': 1}"
2025-01,2024-01-01..2024-12-31,ABSTAIN_INNER_VALIDATION,4502,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2025-02,2024-02-01..2025-01-31,ABSTAIN_INNER_VALIDATION,4594,0,0,0.0,0.0,0.0,2800.0,,,,,,,,,,,,
2025-03,2024-03-01..2025-02-28,FROZEN_MODEL_EVALUATED,4612,8,7,0.97,-0.57,-58.76,3100.0,495.0,100.0,0.0,ridge,5.0,8.3071,,,0.0,7.8115,0.875,"{'draw': 4, 'away': 4}"
2025-04,2024-04-01..2025-03-31,FROZEN_MODEL_EVALUATED,4659,1,1,0.11,-0.11,-100.0,3000.0,526.0,100.0,0.25,ridge,5.0,8.0713,,,0.0,-0.8005,0.0,{'draw': 1}
2025-05,2024-05-01..2025-04-30,FROZEN_MODEL_EVALUATED,4629,12,7,1.97,0.28,14.21,3100.0,347.0,10.0,0.0,ridge,5.0,8.0879,,,0.0,0.8415,0.4167,"{'away': 4, 'draw': 6, 'home': 2}"
2025-08,2024-08-01..2025-07-31,FROZEN_MODEL_EVALUATED,4723,13,9,1.81,-1.04,-57.46,3100.0,489.0,1.0,0.0,ridge,5.0,8.7752,,,0.0,7.171,0.7692,{'away': 13}
2025-09,2024-09-01..2025-08-31,FROZEN_MODEL_EVALUATED,4816,9,5,1.29,1.86,144.19,3000.0,477.0,10.0,0.0,ridge,5.0,9.0826,,,0.0,11.7287,1.0,"{'away': 7, 'home': 1, 'draw': 1}"
2025-10,2024-10-01..2025-09-30,FROZEN_MODEL_EVALUATED,4818,17,11,2.41,-0.57,-23.65,3100.0,481.0,10.0,0.0,ridge,5.0,9.3672,,,0.0,3.9907,0.6471,"{'away': 13, 'draw': 2, 'home': 2}"
2025-11,2024-11-01..2025-10-31,FROZEN_MODEL_EVALUATED,4819,3,3,0.34,0.17,50.0,3000.0,524.0,1.0,0.25,ridge,5.0,9.382,,,0.0,3.3593,0.6667,"{'away': 2, 'home': 1}"
2025-12,2024-12-01..2025-11-30,FROZEN_MODEL_EVALUATED,4882,9,6,1.13,-0.34,-30.09,3100.0,479.0,1.0,0.0,ridge,5.0,8.5884,,,0.0,9.8632,0.8889,"{'away': 8, 'home': 1}"
2026-01,2025-01-01..2025-12-31,FROZEN_MODEL_EVALUATED,4830,5,3,1.07,1.32,123.36,3100.0,538.0,1.0,0.25,ridge,5.0,8.5236,,,0.0,6.6708,0.8,"{'away': 4, 'home': 1}"
2026-02,2025-02-01..2026-01-31,FROZEN_MODEL_EVALUATED,4882,0,0,0.0,0.0,0.0,2800.0,526.0,100.0,0.25,ridge,5.0,8.5163,,,0.0,,,{}
2026-03,2025-03-01..2026-02-28,FROZEN_MODEL_EVALUATED,4894,7,5,1.07,0.24,22.43,3100.0,469.0,100.0,0.0,ridge,5.0,8.1404,,,0.0,6.1424,0.7143,{'away': 7}
2026-04,2025-04-01..2026-03-31,FROZEN_MODEL_EVALUATED,4868,4,4,0.52,0.46,88.46,3000.0,428.0,100.0,0.0,ridge,5.0,8.0394,,,0.0,3.2244,0.75,"{'away': 3, 'home': 1}"
