test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,implied_probability,price_ratio,probability_uncertainty,relative_dispersion,log_odds,probability_squared,odds_probability_interaction,reference_depth_inverse,raw_net_odds_gap_pct,outcome_odds_band,outcome_source_type,source_odds_band,predicted_closing_edge_pct,lower_closing_edge_pct,predicted_closing_probability,stake,estimated_probability_from_lower_clv,staking_probability_profile,decision_frozen_before_closing_and_result,closing_probability,closing_fair_odds,closing_edge_pct,positive_clv,actual_outcome,won,profit
2025-01,data\historical_csv\football-data\2425\G1.csv:139,data\historical_csv\football-data\2425\G1.csv,139,2025-01-26,G1,Lamia,Aris,home,0.2222432198439222,0.2154920362921214,4.675,4.75,0.7425269665667589,0.004751183551800784,6,0.0,B365,4.0-5.0,sportsbook,0.21390374331550802,1.0389870527703362,0.0067511835518007934,0.021378305961988236,1.5422291627406504,0.049392048766593935,0.34274997486467845,0.16666666666666666,1.6042780748663166,home:4.0-5.0,home:sportsbook,sportsbook:4.0-5.0,3.018987202419532,3.018987202419532,0.22036146995169953,0.12,0.2235687280844034,validation_platt,True,0.20147952983864623,4.963283370776399,-5.808319800432892,False,away,False,-0.12
2025-01,data\historical_csv\football-data\2425\P1.csv:170,data\historical_csv\football-data\2425\P1.csv,170,2025-01-26,P1,Porto,Santa Clara,draw,0.22894143968511965,0.22557520614417229,4.535349999999999,4.7,2.306251118597169,0.0013662335409473602,6,0.025,BFE,4.0-5.0,exchange,0.22049014960256655,1.0383295584759074,0.0033662335409473665,0.005967611380562836,1.511902258097338,0.05241418280509528,0.3461370796319879,0.16666666666666666,3.630370313206277,draw:4.0-5.0,draw:exchange,exchange:4.0-5.0,2.506971233794797,2.506971233794797,0.226017774226454,0.11,0.2289317048714922,validation_platt,True,0.26179268960071894,3.8198163650985837,18.732147478062046,True,draw,True,0.39
2025-01,data\historical_csv\football-data\2425\T1.csv:191,data\historical_csv\football-data\2425\T1.csv,191,2025-01-31,T1,Eyupspor,Sivasspor,draw,0.26984026972823766,0.25924718666492735,3.842,3.9,-0.3972308833349092,0.008593083063310289,6,0.0,1XB,3.0-4.0,sportsbook,0.2602811035918792,1.036726316295889,0.010593083063310305,0.03184507290911242,1.345993064346365,0.07281377116700806,0.3632031315355603,0.16666666666666666,1.5096304008328953,draw:3.0-4.0,draw:sportsbook,sportsbook:3.0-4.0,4.279039046459032,4.279039046459032,0.2714186336451302,0.16,0.27176109604214366,validation_platt,True,0.257377303802829,3.8853464747073327,-1.1156398789530897,False,home,False,-0.16
2025-02,data\historical_csv\football-data\2425\P1.csv:175,data\historical_csv\football-data\2425\P1.csv,175,2025-02-01,P1,Santa Clara,Casa Pia,away,0.24656547367959247,0.2422690597690615,4.34425,4.5,5.247736290174521,0.0022964139105309677,6,0.025,BFE,4.0-5.0,exchange,0.23018933072452094,1.0711420590325695,0.004296413910530983,0.009313606955023708,1.4688531316202267,0.06079453281084181,0.36216846816369397,0.16666666666666666,3.5851988260344303,away:4.0-5.0,away:exchange,exchange:4.0-5.0,4.795255644888985,4.795255644888985,0.2412274976000207,0.34,0.2567451209062262,validation_platt,True,0.2342654956429889,4.268661064470029,1.770787944705443,True,home,False,-0.34
2025-02,data\historical_csv\football-data\2425\D1.csv:176,data\historical_csv\football-data\2425\D1.csv,176,2025-02-01,D1,Heidenheim,Dortmund,draw,0.23883271390270222,0.23416045207356626,4.2536000000000005,4.32,-0.39751010598784164,0.0026722618291359673,6,0.0,1XB,4.0-5.0,sportsbook,0.23509497837126198,1.0158988318565343,0.004672261829135965,0.01118884337689441,1.4477656832079917,0.05704106523013001,0.3457738072157645,0.16666666666666666,1.5610306563851761,draw:4.0-5.0,draw:sportsbook,sportsbook:4.0-5.0,2.476094925861805,2.476094925861805,0.24091615320166868,0.28,0.2564594108189589,validation_platt,True,0.23520319232394019,4.251642973547408,0.04602988691120302,True,away,False,-0.28
2025-02,data\historical_csv\football-data\2425\I1.csv:222,data\historical_csv\football-data\2425\I1.csv,222,2025-02-01,I1,Udinese,Venezia,draw,0.27264442102441644,0.2681627319255139,3.7243999999999997,3.78,-0.12547212166161836,0.0024816890989025633,6,0.0,1XB,3.0-4.0,sportsbook,0.2684996241005263,1.0154368816633366,0.004481689098902564,0.009102291877376496,1.3149057650322376,0.07433498031573925,0.3585017210088818,0.16666666666666666,1.4928579099989348,draw:3.0-4.0,draw:sportsbook,sportsbook:3.0-4.0,2.3393978757831,2.3393978757831,0.2747808986032196,0.26,0.28730177983568217,validation_platt,True,0.2694312432929634,3.7115220483641527,0.3469722520312857,True,home,False,-0.26
2025-02,data\historical_csv\football-data\2425\E0.csv:234,data\historical_csv\football-data\2425\E0.csv,234,2025-02-01,E0,Ipswich,Southampton,draw,0.26423596546693107,0.2557458238837687,3.842,3.9,-1.742454463856058,0.006490141583162331,6,0.0,1XB,3.0-4.0,sportsbook,0.2602811035918792,1.0151945793239492,0.008490141583162358,0.0245619159817764,1.345993064346365,0.06982064544624118,0.3556597768693548,0.16666666666666666,1.5096304008328953,draw:3.0-4.0,draw:sportsbook,sportsbook:3.0-4.0,2.307738812322868,2.307738812322868,0.2662877116406113,0.26,0.2796082076543693,validation_platt,True,0.26269053035140294,3.8067607487117754,0.9257017610090124,True,away,False,-0.26
2025-02,data\historical_csv\football-data\2425\I1.csv:224,data\historical_csv\football-data\2425\I1.csv,224,2025-02-01,I1,Bologna,Como,draw,0.27143729211682355,0.2633047039305087,3.7146,3.77,-2.1928346779732433,0.0061325881863148355,6,0.0,1XB,3.0-4.0,sportsbook,0.269207990093146,1.0082809652971527,0.008132588186314849,0.022593020061795484,1.3122710007711045,0.0736782035517138,0.35619928697274267,0.16666666666666666,1.491412265116021,draw:3.0-4.0,draw:sportsbook,sportsbook:3.0-4.0,1.6060121703058927,1.6060121703058927,0.27353150317747776,0.23,0.28617161473750347,validation_platt,True,0.2846745219566108,3.512783627866834,5.745197926002654,True,home,False,-0.23
2025-02,data\historical_csv\football-data\2425\E3.csv:335,data\historical_csv\football-data\2425\E3.csv,335,2025-02-01,E3,Newport County,Barrow,home,0.3035533587911151,0.28776405780855846,3.352,3.4,-3.54148782257121,0.013789300982556641,6,0.0,BF,3.0-4.0,sportsbook,0.2983293556085919,1.0175108586678179,0.015789300982556653,0.04542628366054584,1.2095571826198366,0.09214464163336747,0.3671651454341696,0.16666666666666666,1.4319809069212486,home:3.0-4.0,home:sportsbook,sportsbook:3.0-4.0,1.2404312868587342,1.2404312868587342,0.30202992627344494,0.19,0.3118254100650997,validation_platt,True,0.2887929462159387,3.462688452412101,-3.196604428417349,False,home,True,0.45
2025-02,data\historical_csv\football-data\2425\E0.csv:237,data\historical_csv\football-data\2425\E0.csv,237,2025-02-02,E0,Brentford,Tottenham,draw,0.24297231796310126,0.23753859510877923,4.2634,4.33,1.2722046386769215,0.0034337228543220417,6,0.0,1XB,4.0-5.0,sportsbook,0.23455458085096403,1.035888180403886,0.005433722854322032,0.014132156630466441,1.450066964016957,0.05903554729636238,0.352326131448917,0.16666666666666666,1.5621335084674337,draw:4.0-5.0,draw:sportsbook,sportsbook:4.0-5.0,4.359959280262138,4.359959280262138,0.24478106506605557,0.33,0.2600030572290598,validation_platt,True,0.23562733828521745,4.243989713916558,0.4573594045196083,True,away,False,-0.33
2025-02,data\historical_csv\football-data\2425\SP1.csv:218,data\historical_csv\football-data\2425\SP1.csv,218,2025-02-02,SP1,Valencia,Celta,draw,0.3057333288112557,0.299198545417537,3.3324,3.38,-0.29507672505998395,0.0045347833937187075,6,0.0,1XB,3.0-4.0,sportsbook,0.3000840235265875,1.0188257449306284,0.006534783393718713,0.014832479701675748,1.2036927651186171,0.0934728683460114,0.36800899594573977,0.16666666666666666,1.4283999519865587,draw:3.0-4.0,draw:sportsbook,sportsbook:3.0-4.0,2.463002254624813,2.463002254624813,0.30747509979181614,0.24,0.3166998828751932,validation_platt,True,0.3121006216567876,3.204094867518992,4.004411160907884,True,home,False,-0.24
2025-02,data\historical_csv\football-data\2425\D1.csv:180,data\historical_csv\football-data\2425\D1.csv,180,2025-02-02,D1,Ein Frankfurt,Wolfsburg,draw,0.24997792336926777,0.24346745269422315,4.038,4.1,-1.6878426020726867,0.004510470675044612,6,0.0,1XB,4.0-5.0,sportsbook,0.24764735017335313,1.0094108545651033,0.006510470675044622,0.018043476056810576,1.3957495198906458,0.06248896217201151,0.3489065665259161,0.16666666666666666,1.535413571074784,draw:4.0-5.0,draw:sportsbook,sportsbook:4.0-5.0,1.718500664387923,1.718500664387923,0.2519031715314213,0.25,0.26651623073356445,validation_platt,True,0.26850553797380927,3.7243179695516844,8.422536233824186,True,draw,True,0.76
2025-02,data\historical_csv\football-data\2425\F1.csv:178,data\historical_csv\football-data\2425\F1.csv,178,2025-02-02,F1,Angers,Le Havre,away,0.2380376874603899,0.23293178009545443,4.34425,4.5,1.1913885679677882,0.003105907364935472,6,0.025,BFE,4.0-5.0,exchange,0.23018933072452094,1.0340952237497987,0.005105907364935464,0.01304796479108924,1.4688531316202267,0.05666194065149026,0.34964240266983043,0.16666666666666666,3.5851988260344303,away:4.0-5.0,away:exchange,exchange:4.0-5.0,1.2345716149377184,1.2345716149377184,0.23303118286226096,0.25,0.24920885196745093,validation_platt,True,0.1997465364522527,5.006344629355009,-13.225110901730119,False,draw,False,-0.25
2025-02,data\historical_csv\football-data\2425\I1.csv:229,data\historical_csv\football-data\2425\I1.csv,229,2025-02-03,I1,Cagliari,Lazio,draw,0.27211720191058153,0.2677858903837073,3.6852,3.74,-1.3155436757961825,0.0023313115268741975,6,0.0,1XB,3.0-4.0,sportsbook,0.27135569304244,1.002806312480875,0.004331311526874215,0.008567306699119568,1.30432479825264,0.0740477715756442,0.35492921448309217,0.16666666666666666,1.4870291978725803,draw:3.0-4.0,draw:sportsbook,sportsbook:3.0-4.0,1.1101549993492332,1.1101549993492332,0.2743681618347694,0.21,0.2869284905497446,validation_platt,True,0.27714502578517614,3.60821918837227,2.1334849023531,True,away,False,-0.21
2025-02,data\historical_csv\football-data\2425\I1.csv:230,data\historical_csv\football-data\2425\I1.csv,230,2025-02-06,I1,Fiorentina,Inter,draw,0.2717909998270954,0.2684309322050711,3.7538,3.81,0.763603331139584,0.0013600676220243333,6,0.0,1XB,3.0-4.0,sportsbook,0.2663967179924343,1.0202490551509509,0.003360067622024343,0.0050040936708337065,1.3227686602400124,0.07387034758701219,0.35951661670658047,0.16666666666666666,1.497149555117483,draw:3.0-4.0,draw:sportsbook,sportsbook:3.0-4.0,2.8283418194734677,2.8283418194734677,0.2739313277731191,0.27,0.28653334283629206,validation_platt,True,0.2754741472560756,3.6301047120418843,3.4074853969856544,True,home,False,-0.27
2025-02,data\historical_csv\football-data\2425\I1.csv:231,data\historical_csv\football-data\2425\I1.csv,231,2025-02-07,I1,Como,Juventus,draw,0.2818868560024761,0.27609653442626064,3.5774,3.63,-1.2292257743495183,0.003790321576215441,6,0.0,1XB,3.0-4.0,sportsbook,0.27953262145692404,1.0084220386632579,0.005790321576215451,0.013446251556270317,1.2746362795770083,0.0794601995869607,0.359303213396656,0.16666666666666666,1.4703415888634108,draw:3.0-4.0,draw:sportsbook,sportsbook:3.0-4.0,1.5826772958913438,1.5826772958913438,0.28395672079133266,0.22,0.2955857907097855,validation_platt,True,0.2899125110936913,3.4493164721574536,3.713301718657136,True,away,False,-0.22
2025-02,data\historical_csv\football-data\2425\F1.csv:182,data\historical_csv\football-data\2425\F1.csv,182,2025-02-07,F1,Nantes,Brest,draw,0.29930526694680143,0.2884821010464667,3.3716,3.42,-2.7353748111732856,0.008823165900334705,6,0.0,1XB,3.0-4.0,sportsbook,0.2965950883853363,1.0091376380378356,0.01082316590033472,0.029478819368397337,1.21538740914119,0.08958364282209606,0.36377185293678527,0.16666666666666666,1.4355202277850365,draw:3.0-4.0,draw:sportsbook,sportsbook:3.0-4.0,1.5630558732936395,1.5630558732936395,0.30123103533424384,0.21,0.3111095730800537,validation_platt,True,0.30529557009984937,3.275514281694104,2.933454414865211,True,away,False,-0.21
2025-02,data\historical_csv\football-data\2425\D2.csv:184,data\historical_csv\football-data\2425\D2.csv,184,2025-02-08,D2,Darmstadt,Elversberg,draw,0.27688209971282457,0.2582334255773921,3.7636,3.82,-2.8112679496927195,0.01664867413543246,6,0.0,1XB,3.0-4.0,sportsbook,0.26570305027101715,1.0420734704791865,0.018648674135432475,0.06012910965605961,1.3253759461504735,0.07666369714138253,0.3669728748790146,0.16666666666666666,1.4985652035285346,draw:3.0-4.0,draw:sportsbook,sportsbook:3.0-4.0,4.7857344045309835,4.7857344045309835,0.2784188925617255,0.34,0.29058955045744395,validation_platt,True,0.2748628553871536,3.6381780236964585,3.4473842535091226,True,away,False,-0.34
