date,bets,staked,profit,equity,drawdown,risk_status,stake_multiplier,effective_budget,current_drawdown_fraction,rolling_max_drawdown_fraction
2025-11-24,2,20.0,0.8,1100.4,19.2,NORMAL,1.0,100.0,,
2025-11-25,1,10.0,10.8,1111.2,8.4,NORMAL,1.0,100.0,,
2025-11-26,1,10.0,-10.0,1101.2,18.4,NORMAL,1.0,100.0,,
2025-11-27,0,0.0,0.0,1101.2,18.4,NORMAL,1.0,100.0,,
2025-11-28,0,0.0,0.0,1101.2,18.4,NORMAL,1.0,100.0,,
2025-11-29,7,70.0,-29.5,1071.7,47.9,NORMAL,1.0,100.0,,
2025-11-30,4,40.0,-19.2,1052.5,67.1,NORMAL,1.0,100.0,,
2025-12-01,2,20.0,-20.0,1032.5,87.1,NORMAL,1.0,100.0,,
2025-12-02,0,0.0,0.0,1032.5,87.1,NORMAL,1.0,100.0,,
2025-12-03,0,0.0,0.0,1032.5,87.1,NORMAL,1.0,100.0,,
2025-12-04,0,0.0,0.0,1032.5,87.1,NORMAL,1.0,100.0,,
2025-12-05,0,0.0,0.0,1032.5,87.1,NORMAL,1.0,100.0,,
2025-12-06,4,40.0,49.5,1082.0,37.6,NORMAL,1.0,100.0,,
2025-12-07,3,30.0,39.1,1121.1,0.0,NORMAL,1.0,100.0,,
2025-12-08,1,10.0,-10.0,1111.1,10.0,NORMAL,1.0,100.0,,
2025-12-09,4,40.0,-18.3,1092.8,28.3,NORMAL,1.0,100.0,,
2025-12-10,3,30.0,11.0,1103.8,17.3,NORMAL,1.0,100.0,,
2025-12-12,1,10.0,13.5,1117.3,3.8,NORMAL,1.0,100.0,,
2025-12-13,6,60.0,5.3,1122.6,0.0,NORMAL,1.0,100.0,,
2025-12-14,4,40.0,54.0,1176.6,0.0,NORMAL,1.0,100.0,,
2025-12-15,1,10.0,13.8,1190.4,0.0,NORMAL,1.0,100.0,,
2025-12-17,0,0.0,0.0,1190.4,0.0,NORMAL,1.0,100.0,,
2025-12-18,0,0.0,0.0,1190.4,0.0,NORMAL,1.0,100.0,,
2025-12-19,1,10.0,13.2,1203.6,0.0,NORMAL,1.0,100.0,,
2025-12-20,8,80.0,27.7,1231.3,0.0,NORMAL,1.0,100.0,,
2025-12-21,3,30.0,-8.4,1222.9,8.4,NORMAL,1.0,100.0,,
2025-12-22,1,10.0,6.7,1229.6,1.7,NORMAL,1.0,100.0,,
2025-12-23,0,0.0,0.0,1229.6,1.7,NORMAL,1.0,100.0,,
2025-12-26,10,100.0,9.0,1238.6,0.0,NORMAL,1.0,100.0,,
2025-12-27,3,30.0,-7.7,1230.9,7.7,NORMAL,1.0,100.0,,
2025-12-28,1,10.0,11.0,1241.9,0.0,NORMAL,1.0,100.0,,
2025-12-29,5,50.0,-31.9,1210.0,31.9,NORMAL,1.0,100.0,,
2025-12-30,1,10.0,-10.0,1200.0,41.9,NORMAL,1.0,100.0,,
2026-01-01,6,60.0,-14.8,1185.2,56.7,NORMAL,1.0,100.0,,
2026-01-02,0,0.0,0.0,1185.2,56.7,NORMAL,1.0,100.0,,
2026-01-03,2,20.0,14.8,1200.0,41.9,NORMAL,1.0,100.0,,
2026-01-04,5,50.0,11.9,1211.9,30.0,NORMAL,1.0,100.0,,
2026-01-05,0,0.0,0.0,1211.9,30.0,NORMAL,1.0,100.0,,
2026-01-06,1,10.0,8.0,1219.9,22.0,NORMAL,1.0,100.0,,
2026-01-07,0,0.0,0.0,1219.9,22.0,NORMAL,1.0,100.0,,
2026-01-08,0,0.0,0.0,1219.9,22.0,NORMAL,1.0,100.0,,
2026-01-09,0,0.0,0.0,1219.9,22.0,NORMAL,1.0,100.0,,
2026-01-10,5,50.0,-30.8,1189.1,52.8,NORMAL,1.0,100.0,,
2026-01-11,1,10.0,11.6,1200.7,41.2,NORMAL,1.0,100.0,,
2026-01-12,0,0.0,0.0,1200.7,41.2,NORMAL,1.0,100.0,,
2026-01-13,0,0.0,0.0,1200.7,41.2,NORMAL,1.0,100.0,,
2026-01-14,0,0.0,0.0,1200.7,41.2,NORMAL,1.0,100.0,,
2026-01-15,0,0.0,0.0,1200.7,41.2,NORMAL,1.0,100.0,,
2026-01-16,0,0.0,0.0,1200.7,41.2,NORMAL,1.0,100.0,,
2026-01-17,7,70.0,-12.4,1188.3,53.6,NORMAL,1.0,100.0,,
2026-01-18,1,10.0,8.5,1196.8,45.1,NORMAL,1.0,100.0,,
2026-01-19,2,20.0,-1.2,1195.6,46.3,NORMAL,1.0,100.0,,
2026-01-20,1,10.0,5.3,1200.9,41.0,NORMAL,1.0,100.0,,
2026-01-21,0,0.0,0.0,1200.9,41.0,NORMAL,1.0,100.0,,
2026-01-22,1,10.0,6.1,1207.0,34.9,NORMAL,1.0,100.0,,
2026-01-23,1,10.0,11.2,1218.2,23.7,NORMAL,1.0,100.0,,
2026-01-24,7,70.0,41.0,1259.2,0.0,NORMAL,1.0,100.0,,
2026-01-25,4,40.0,3.3,1262.5,0.0,NORMAL,1.0,100.0,,
2026-01-26,1,10.0,-10.0,1252.5,10.0,NORMAL,1.0,100.0,,
2026-01-27,3,30.0,30.2,1282.7,0.0,NORMAL,1.0,100.0,,
