month,decision,reason,prior_candidates,candidate_count,selected,mean_predicted_ev,probability_validation
2020-12,ABSTAIN,model_did_not_beat_market_on_prior_validation,7524.0,240.0,,,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 5349, 'validation_rows': 2175, 'market': {'matches': 725, 'log_loss': 1.013801, 'brier': 0.607181}, 'model': {'matches': 725, 'log_loss': 1.014245, 'brier': 0.607399}, 'log_loss_improvement': -0.000444, 'brier_improvement': -0.000218, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2021-01,ABSTAIN,selected_tail_did_not_show_prior_edge,7470.0,177.0,,,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 5151, 'validation_rows': 2319, 'market': {'matches': 773, 'log_loss': 1.003532, 'brier': 0.599953}, 'model': {'matches': 773, 'log_loss': 1.00274, 'brier': 0.599344}, 'log_loss_improvement': 0.000792, 'brier_improvement': 0.000609, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2021-02,ABSTAIN,model_did_not_beat_market_on_prior_validation,7293.0,159.0,,,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 5100, 'validation_rows': 2193, 'market': {'matches': 731, 'log_loss': 1.008292, 'brier': 0.602681}, 'model': {'matches': 731, 'log_loss': 1.009137, 'brier': 0.60258}, 'log_loss_improvement': -0.000845, 'brier_improvement': 0.000101, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2021-03,ABSTAIN,no_candidates,,,,,
2021-04,ABSTAIN,selected_tail_did_not_show_prior_edge,6615.0,78.0,,,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 5160, 'validation_rows': 1455, 'market': {'matches': 485, 'log_loss': 0.99124, 'brier': 0.590414}, 'model': {'matches': 485, 'log_loss': 0.989673, 'brier': 0.589522}, 'log_loss_improvement': 0.001567, 'brier_improvement': 0.000892, 'selected_tail': {'bets': 17, 'profit_units': -2.58, 'hit_rate': 0.235294, 'average_market_probability': 0.264441, 'edge_vs_market_probability': -0.029147, 'passed': False}}"
2021-05,ABSTAIN,selected_tail_did_not_show_prior_edge,6369.0,369.0,,,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 5349, 'validation_rows': 1020, 'market': {'matches': 340, 'log_loss': 1.002121, 'brier': 0.598602}, 'model': {'matches': 340, 'log_loss': 1.000587, 'brier': 0.597575}, 'log_loss_improvement': 0.001534, 'brier_improvement': 0.001027, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2021-06,ABSTAIN,selected_tail_did_not_show_prior_edge,6441.0,402.0,,,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 5418, 'validation_rows': 1023, 'market': {'matches': 341, 'log_loss': 1.00413, 'brier': 0.598844}, 'model': {'matches': 341, 'log_loss': 1.003126, 'brier': 0.597855}, 'log_loss_improvement': 0.001004, 'brier_improvement': 0.000989, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2021-07,ABSTAIN,selected_tail_did_not_show_prior_edge,6807.0,474.0,,,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 5622, 'validation_rows': 1185, 'market': {'matches': 395, 'log_loss': 1.033112, 'brier': 0.621034}, 'model': {'matches': 395, 'log_loss': 1.032644, 'brier': 0.621012}, 'log_loss_improvement': 0.000468, 'brier_improvement': 2.2e-05, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2021-08,ABSTAIN,selected_tail_did_not_show_prior_edge,7281.0,480.0,,,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 5799, 'validation_rows': 1482, 'market': {'matches': 494, 'log_loss': 1.027037, 'brier': 0.61778}, 'model': {'matches': 494, 'log_loss': 1.025558, 'brier': 0.617607}, 'log_loss_improvement': 0.001479, 'brier_improvement': 0.000173, 'selected_tail': {'bets': 3, 'profit_units': 0.97, 'hit_rate': 0.333333, 'average_market_probability': 0.248604, 'edge_vs_market_probability': 0.084729, 'passed': False}}"
2021-09,ABSTAIN,model_did_not_beat_market_on_prior_validation,7761.0,408.0,,,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 5958, 'validation_rows': 1803, 'market': {'matches': 601, 'log_loss': 1.038197, 'brier': 0.62572}, 'model': {'matches': 601, 'log_loss': 1.038053, 'brier': 0.626054}, 'log_loss_improvement': 0.000144, 'brier_improvement': -0.000334, 'selected_tail': {'bets': 21, 'profit_units': 1.24, 'hit_rate': 0.285714, 'average_market_probability': 0.26468, 'edge_vs_market_probability': 0.021034, 'passed': False}}"
