date,month,league,home_team,away_team,outcome,actual_result,odds,odds_bucket,market_probability,market_prob_bucket,favorite_relation,odds_source,won,unit_profit
2012-06-10,2012-06,BRA,Palmeiras,Atletico-MG,home,away,2.06,"[1.8,2.2)",0.4757823902238219,"[0.42,0.55)",market_favorite,PS_CLOSE,False,-1.0
2012-06-10,2012-06,BRA,Palmeiras,Atletico-MG,draw,away,3.69,"[3.5,4.0)",0.2656129332956838,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-10,2012-06,BRA,Palmeiras,Atletico-MG,away,away,3.79,"[3.5,4.0)",0.25860467648049423,"[0.20,0.28)",market_non_favorite,PS_CLOSE,True,2.79
2012-06-10,2012-06,BRA,Nautico,Botafogo RJ,home,home,2.33,"[2.2,2.8)",0.419543618620832,"[0.34,0.42)",market_favorite,PS_CLOSE,True,1.33
2012-06-10,2012-06,BRA,Nautico,Botafogo RJ,draw,home,3.58,"[3.5,4.0)",0.27305492496830686,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-10,2012-06,BRA,Nautico,Botafogo RJ,away,home,3.18,"[2.8,3.5)",0.30740145641086114,"[0.28,0.34)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-10,2012-06,BRA,Gremio,Corinthians,home,home,1.53,"[1.0,1.8)",0.6384806472934105,"[0.55,1.00]",market_favorite,PS_CLOSE,True,0.53
2012-06-10,2012-06,BRA,Gremio,Corinthians,draw,home,4.24,"[4.0,5.0)",0.23039513923559385,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-10,2012-06,BRA,Gremio,Corinthians,away,home,7.45,"[7.0,inf)",0.1311242134709957,"[0.00,0.20)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-10,2012-06,BRA,Figueirense,Ponte Preta,home,draw,1.85,"[1.8,2.2)",0.5286994986551128,"[0.42,0.55)",market_favorite,PS_CLOSE,False,-1.0
2012-06-10,2012-06,BRA,Figueirense,Ponte Preta,draw,draw,3.71,"[3.5,4.0)",0.26363721631050097,"[0.20,0.28)",market_non_favorite,PS_CLOSE,True,2.71
2012-06-10,2012-06,BRA,Figueirense,Ponte Preta,away,draw,4.71,"[4.0,5.0)",0.20766328503438616,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-10,2012-06,BRA,Cruzeiro,Sport Recife,home,home,1.54,"[1.0,1.8)",0.6359457182354337,"[0.55,1.00]",market_favorite,PS_CLOSE,True,0.54
2012-06-10,2012-06,BRA,Cruzeiro,Sport Recife,draw,home,4.26,"[4.0,5.0)",0.22989586997243378,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-10,2012-06,BRA,Cruzeiro,Sport Recife,away,home,7.3,"[7.0,inf)",0.1341584117921326,"[0.00,0.20)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-10,2012-06,BRA,Bahia,Vasco,home,away,3.04,"[2.8,3.5)",0.32238439176431805,"[0.28,0.34)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-10,2012-06,BRA,Bahia,Vasco,draw,away,3.47,"[2.8,3.5)",0.2824347409116792,"[0.28,0.34)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-10,2012-06,BRA,Bahia,Vasco,away,away,2.48,"[2.2,2.8)",0.39518086732400276,"[0.34,0.42)",market_favorite,PS_CLOSE,True,1.48
2012-06-10,2012-06,BRA,Fluminense,Internacional,home,draw,1.96,"[1.8,2.2)",0.5003893474536677,"[0.42,0.55)",market_favorite,PS_CLOSE,False,-1.0
2012-06-10,2012-06,BRA,Fluminense,Internacional,draw,draw,3.43,"[2.8,3.5)",0.28593676997352435,"[0.28,0.34)",market_non_favorite,PS_CLOSE,True,2.43
2012-06-10,2012-06,BRA,Fluminense,Internacional,away,draw,4.59,"[4.0,5.0)",0.21367388257280798,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-16,2012-06,BRA,Cruzeiro,Figueirense,home,home,1.77,"[1.0,1.8)",0.5532561836009294,"[0.55,1.00]",market_favorite,PS_CLOSE,True,0.77
2012-06-16,2012-06,BRA,Cruzeiro,Figueirense,draw,home,3.85,"[3.5,4.0)",0.2543541415515961,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-16,2012-06,BRA,Cruzeiro,Figueirense,away,home,5.09,"[5.0,7.0)",0.1923896748474745,"[0.00,0.20)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-16,2012-06,BRA,Internacional,Botafogo RJ,home,away,1.61,"[1.0,1.8)",0.609955142409339,"[0.55,1.00]",market_favorite,PS_CLOSE,False,-1.0
2012-06-16,2012-06,BRA,Internacional,Botafogo RJ,draw,away,4.37,"[4.0,5.0)",0.22472031562449332,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-16,2012-06,BRA,Internacional,Botafogo RJ,away,away,5.94,"[5.0,7.0)",0.16532454196616764,"[0.00,0.20)",market_non_favorite,PS_CLOSE,True,4.94
2012-06-17,2012-06,BRA,Palmeiras,Vasco,home,draw,2.38,"[2.2,2.8)",0.4117964328461868,"[0.34,0.42)",market_favorite,PS_CLOSE,False,-1.0
2012-06-17,2012-06,BRA,Palmeiras,Vasco,draw,draw,3.55,"[3.5,4.0)",0.2760776084996971,"[0.20,0.28)",market_non_favorite,PS_CLOSE,True,2.55
2012-06-17,2012-06,BRA,Palmeiras,Vasco,away,draw,3.14,"[2.8,3.5)",0.3121259586541161,"[0.28,0.34)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-17,2012-06,BRA,Sao Paulo,Atletico-MG,home,home,2.31,"[2.2,2.8)",0.42241255138333356,"[0.42,0.55)",market_favorite,PS_CLOSE,True,1.31
2012-06-17,2012-06,BRA,Sao Paulo,Atletico-MG,draw,home,3.24,"[2.8,3.5)",0.3011645042270063,"[0.28,0.34)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-17,2012-06,BRA,Sao Paulo,Atletico-MG,away,home,3.53,"[3.5,4.0)",0.2764229443896602,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-17,2012-06,BRA,Ponte Preta,Corinthians,home,home,2.19,"[1.8,2.2)",0.44742958272031386,"[0.42,0.55)",market_favorite,PS_CLOSE,True,1.19
2012-06-17,2012-06,BRA,Ponte Preta,Corinthians,draw,home,3.66,"[3.5,4.0)",0.2677242585129746,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-17,2012-06,BRA,Ponte Preta,Corinthians,away,home,3.44,"[2.8,3.5)",0.28484615876671143,"[0.28,0.34)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-17,2012-06,BRA,Nautico,Gremio,home,home,2.7,"[2.2,2.8)",0.3631399317406143,"[0.34,0.42)",market_favorite,PS_CLOSE,True,1.7000000000000002
2012-06-17,2012-06,BRA,Nautico,Gremio,draw,home,3.42,"[2.8,3.5)",0.28668941979522183,"[0.28,0.34)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-17,2012-06,BRA,Nautico,Gremio,away,home,2.8,"[2.8,3.5)",0.35017064846416385,"[0.34,0.42)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-17,2012-06,BRA,Bahia,Sport Recife,home,home,1.93,"[1.8,2.2)",0.5068075258952635,"[0.42,0.55)",market_favorite,PS_CLOSE,True,0.9299999999999999
2012-06-17,2012-06,BRA,Bahia,Sport Recife,draw,home,3.54,"[3.5,4.0)",0.2763103177903555,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-17,2012-06,BRA,Bahia,Sport Recife,away,home,4.51,"[4.0,5.0)",0.21688215631438104,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-17,2012-06,BRA,Flamengo RJ,Santos,home,home,1.75,"[1.0,1.8)",0.5608368325589485,"[0.55,1.00]",market_favorite,PS_CLOSE,True,0.75
2012-06-17,2012-06,BRA,Flamengo RJ,Santos,draw,home,3.96,"[3.5,4.0)",0.24784455984296966,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-17,2012-06,BRA,Flamengo RJ,Santos,away,home,5.13,"[5.0,7.0)",0.19131860759808186,"[0.00,0.20)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-17,2012-06,BRA,Fluminense,Portuguesa,home,home,1.54,"[1.0,1.8)",0.6360398445496683,"[0.55,1.00]",market_favorite,PS_CLOSE,True,0.54
2012-06-17,2012-06,BRA,Fluminense,Portuguesa,draw,home,4.38,"[4.0,5.0)",0.22363044762705236,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-17,2012-06,BRA,Fluminense,Portuguesa,away,home,6.98,"[5.0,7.0)",0.14032970782327925,"[0.00,0.20)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-17,2012-06,BRA,Coritiba,Atletico GO,home,home,1.94,"[1.8,2.2)",0.5040221054398492,"[0.42,0.55)",market_favorite,PS_CLOSE,True,0.94
2012-06-17,2012-06,BRA,Coritiba,Atletico GO,draw,home,3.7,"[3.5,4.0)",0.2642710498792722,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
