month,decision,reason,prior_candidates,candidate_count,probability_validation
2020-03,ABSTAIN,no_candidates,,,
2020-04,ABSTAIN,no_candidates,,,
2020-05,ABSTAIN,no_candidates,,,
2020-06,ABSTAIN,no_candidates,,,
2020-07,ABSTAIN,no_candidates,,,
2020-08,ABSTAIN,insufficient_prior_validation_rows,2280.0,165.0,"{'passed': False, 'reason': 'insufficient_prior_validation_rows', 'fit_rows': 2280, 'validation_rows': 0}"
2020-09,ABSTAIN,model_did_not_beat_market_on_prior_validation,2445.0,174.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2280, 'validation_rows': 165, 'market': {'matches': 55, 'log_loss': 1.064249, 'brier': 0.645884}, 'model': {'matches': 55, 'log_loss': 1.070985, 'brier': 0.649667}, 'log_loss_improvement': -0.006736, 'brier_improvement': -0.003783, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2020-10,ABSTAIN,model_did_not_beat_market_on_prior_validation,2619.0,186.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2280, 'validation_rows': 339, 'market': {'matches': 113, 'log_loss': 1.068471, 'brier': 0.650956}, 'model': {'matches': 113, 'log_loss': 1.071149, 'brier': 0.653883}, 'log_loss_improvement': -0.002678, 'brier_improvement': -0.002927, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2020-11,ABSTAIN,model_did_not_beat_market_on_prior_validation,2721.0,153.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2196, 'validation_rows': 525, 'market': {'matches': 175, 'log_loss': 1.049303, 'brier': 0.636097}, 'model': {'matches': 175, 'log_loss': 1.052421, 'brier': 0.639366}, 'log_loss_improvement': -0.003118, 'brier_improvement': -0.003269, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2020-12,ABSTAIN,model_did_not_beat_market_on_prior_validation,2724.0,126.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2046, 'validation_rows': 678, 'market': {'matches': 226, 'log_loss': 1.042088, 'brier': 0.630614}, 'model': {'matches': 226, 'log_loss': 1.044893, 'brier': 0.633534}, 'log_loss_improvement': -0.002805, 'brier_improvement': -0.00292, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2021-01,ABSTAIN,model_did_not_beat_market_on_prior_validation,2727.0,177.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1923, 'validation_rows': 804, 'market': {'matches': 268, 'log_loss': 1.022879, 'brier': 0.616476}, 'model': {'matches': 268, 'log_loss': 1.023684, 'brier': 0.617997}, 'log_loss_improvement': -0.000805, 'brier_improvement': -0.001521, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2021-02,ABSTAIN,model_did_not_beat_market_on_prior_validation,2790.0,159.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1809, 'validation_rows': 981, 'market': {'matches': 327, 'log_loss': 1.029327, 'brier': 0.619178}, 'model': {'matches': 327, 'log_loss': 1.031909, 'brier': 0.620744}, 'log_loss_improvement': -0.002582, 'brier_improvement': -0.001566, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2021-03,ABSTAIN,no_candidates,,,
2021-04,ABSTAIN,no_candidates,,,
2021-05,ABSTAIN,model_did_not_beat_market_on_prior_validation,2490.0,30.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1875, 'validation_rows': 615, 'market': {'matches': 205, 'log_loss': 1.008446, 'brier': 0.601798}, 'model': {'matches': 205, 'log_loss': 1.008579, 'brier': 0.601246}, 'log_loss_improvement': -0.000133, 'brier_improvement': 0.000552, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2021-06,ABSTAIN,model_did_not_beat_market_on_prior_validation,2340.0,180.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1848, 'validation_rows': 492, 'market': {'matches': 164, 'log_loss': 1.018193, 'brier': 0.607714}, 'model': {'matches': 164, 'log_loss': 1.021034, 'brier': 0.608318}, 'log_loss_improvement': -0.002841, 'brier_improvement': -0.000604, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2021-07,ABSTAIN,model_did_not_beat_market_on_prior_validation,2490.0,174.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1944, 'validation_rows': 546, 'market': {'matches': 182, 'log_loss': 1.060838, 'brier': 0.640098}, 'model': {'matches': 182, 'log_loss': 1.066183, 'brier': 0.642852}, 'log_loss_improvement': -0.005345, 'brier_improvement': -0.002754, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
