league,odds_source,rule_spec,label,candidate_count,selected_candidates,train_months,min_train_rows,min_predicted_ev,ridge,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate,decision
FIN,AVG_CLOSE,FIN_home_prob0p55_1p00,AVG_CLOSE_rulesfin_train18_n80_ev0p02_top1_ridge10_cap0.08,579,85.0,18.0,80.0,0.02,10.0,85.0,-36.4,-4.28,73.1,15.0,17.0,11.0,0.0,11.0,0.0,0.0,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_home_prob0p55_1p00,AVG_CLOSE_rulesfin_train18_n120_ev0p0_top1_ridge35_cap0.08,579,94.0,18.0,120.0,0.0,35.0,94.0,-46.7,-4.97,77.2,14.0,20.0,11.0,0.0,11.0,0.0,0.0,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_home_prob0p55_1p00,AVG_CLOSE_rulesfin_train18_n80_ev0p0_top1_ridge35_cap0.08,579,98.0,18.0,80.0,0.0,35.0,98.0,-58.0,-5.92,77.2,14.0,21.0,11.0,0.0,11.0,0.0,0.0,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_draw_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n120_ev0p0_top1_ridge35_cap0.08,1528,120.0,18.0,120.0,0.0,35.0,120.0,-144.9,-12.08,218.5,15.0,21.0,11.0,0.0,11.0,0.0,0.0,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_draw_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n80_ev0p0_top1_ridge35_cap0.08,1528,127.0,18.0,80.0,0.0,35.0,127.0,-181.0,-14.25,254.6,15.0,22.0,11.0,0.0,11.0,0.0,0.0,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_draw_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n120_ev0p02_top1_ridge35_cap0.08,1528,101.0,18.0,120.0,0.02,35.0,101.0,-214.0,-21.19,317.6,13.0,23.0,11.0,0.0,11.0,0.0,0.0,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_draw_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n80_ev0p02_top1_ridge35_cap0.08,1528,106.0,18.0,80.0,0.02,35.0,106.0,-230.1,-21.71,333.7,13.0,24.0,11.0,0.0,11.0,0.0,0.0,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_draw_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n120_ev0p0_top1_ridge10_cap0.08,1528,118.0,18.0,120.0,0.0,10.0,118.0,-290.4,-24.61,340.1,13.0,22.0,11.0,0.0,11.0,0.0,0.0,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_draw_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n80_ev0p0_top1_ridge10_cap0.08,1528,125.0,18.0,80.0,0.0,10.0,125.0,-326.5,-26.12,376.2,13.0,23.0,11.0,0.0,11.0,0.0,0.0,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_draw_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n120_ev0p02_top1_ridge10_cap0.08,1528,108.0,18.0,120.0,0.02,10.0,108.0,-289.3,-26.79,349.0,11.0,23.0,11.0,0.0,11.0,0.0,0.0,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_draw_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n80_ev0p02_top1_ridge10_cap0.08,1528,113.0,18.0,80.0,0.02,10.0,113.0,-305.4,-27.03,365.1,11.0,24.0,11.0,0.0,11.0,0.0,0.0,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_away_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n80_ev0p0_top1_ridge10_cap0.08,108,13.0,18.0,80.0,0.0,10.0,13.0,-63.0,-48.46,63.0,2.0,11.0,11.0,0.0,10.0,0.0,0.0,REJECT_TOO_FEW_BETS
