month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,estimator_profile,maximum_odds,validation_rmse_pct,outcome_probability_validation_brier,market_probability_validation_brier,outcome_probability_weight,positive_clv_validation_brier,minimum_positive_clv_probability,average_closing_edge_pct,positive_clv_rate,outcome_counts
2025-03,2024-06-01..2025-02-28,FROZEN_MODEL_EVALUATED,12569,1,1,0.17,-0.17,-100.0,3100.0,1973.0,10.0,0.25,ridge,5.0,7.2814,,,0.0,,0.0,5.5663,1.0,{'draw': 1}
2025-04,2024-07-01..2025-03-31,FROZEN_MODEL_EVALUATED,14506,7,5,0.84,-0.5,-59.52,3000.0,2055.0,100.0,0.0,ridge,5.0,6.9883,,,0.0,,0.0,0.2656,0.2857,{'draw': 7}
2025-05,2024-08-01..2025-04-30,FROZEN_MODEL_EVALUATED,16540,9,5,1.86,1.03,55.38,3100.0,1382.0,100.0,0.0,ridge,5.0,7.2112,,,0.0,,0.0,4.1158,0.5556,"{'draw': 3, 'away': 2, 'home': 4}"
2025-08,2024-11-01..2025-07-31,ABSTAIN_INNER_VALIDATION,12967,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2025-09,2024-12-01..2025-08-31,ABSTAIN_INNER_VALIDATION,12950,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2025-10,2025-01-01..2025-09-30,FROZEN_MODEL_EVALUATED,12556,18,11,2.75,-1.91,-69.45,3100.0,1739.0,1.0,0.0,ridge,5.0,7.7454,,,0.0,,0.0,3.7448,0.6111,"{'away': 15, 'home': 2, 'draw': 1}"
2025-11,2025-02-01..2025-10-31,FROZEN_MODEL_EVALUATED,12467,12,8,1.83,0.83,45.36,3000.0,1866.0,100.0,0.0,ridge,5.0,7.2552,,,0.0,,0.0,3.6434,0.75,"{'away': 11, 'home': 1}"
2025-12,2025-03-01..2025-11-30,FROZEN_MODEL_EVALUATED,12370,1,1,0.11,0.34,309.09,3100.0,1838.0,100.0,0.25,ridge,5.0,6.5991,,,0.0,,0.0,28.1175,1.0,{'away': 1}
2026-01,2025-04-01..2025-12-31,ABSTAIN_INNER_VALIDATION,12235,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2026-02,2025-05-01..2026-01-31,ABSTAIN_INNER_VALIDATION,12184,0,0,0.0,0.0,0.0,2800.0,,,,,,,,,,,,,,
2026-03,2025-06-01..2026-02-28,ABSTAIN_INNER_VALIDATION,12858,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2026-04,2025-07-01..2026-03-31,FROZEN_MODEL_EVALUATED,14702,8,5,1.0,0.04,4.0,3000.0,2071.0,1.0,0.0,ridge,5.0,6.6193,,,0.0,,0.0,6.9089,0.625,"{'away': 6, 'home': 2}"
2026-05,2025-08-01..2026-04-30,FROZEN_MODEL_EVALUATED,16731,3,2,0.45,0.42,93.33,3100.0,1343.0,1.0,0.0,ridge,5.0,6.7473,,,0.0,,0.0,5.5509,0.3333,"{'home': 1, 'away': 2}"
