test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,predicted_closing_edge_pct,lower_closing_edge_pct,stake,estimated_probability_from_lower_clv,decision_frozen_before_closing_and_result,closing_probability,closing_fair_odds,closing_edge_pct,positive_clv,actual_outcome,won,profit
2025-02,data\historical_csv\football-data\2425\F1.csv:184,data\historical_csv\football-data\2425\F1.csv,184,2025-02-08,__UNKNOWN_LIVE_LEAGUE__,Nice,Lens,draw,0.28224123052615663,0.2739961643455746,3.6166,3.67,-0.9065472027794841,0.00624506618058202,6,0.0,1XB,3.0-4.0,sportsbook,2.716552586464228,2.716552586464228,0.1,0.2840141364443517,True,0.278367432354337,3.5923742642676997,0.6743655852695207,True,home,False,-0.1
2025-02,data\historical_csv\football-data\2425\I1.csv:243,data\historical_csv\football-data\2425\I1.csv,243,2025-02-15,__UNKNOWN_LIVE_LEAGUE__,Lazio,Napoli,draw,0.30641595809262584,0.300542570234997,3.3912,3.44,1.9199964180921736,0.0038733878576288666,5,0.0,1XB,3.0-4.0,sportsbook,3.2780694762763254,3.2780694762763254,0.14,0.3045472678588002,True,0.3111227037507471,3.2141659478542595,5.50793129595335,True,draw,True,0.33
2025-02,data\historical_csv\football-data\2425\I2.csv:260,data\historical_csv\football-data\2425\I2.csv,260,2025-02-16,__UNKNOWN_LIVE_LEAGUE__,Palermo,Mantova,draw,0.282069854104253,0.2708768253663367,3.7636,3.82,1.9472019948744812,0.009193028737916269,5,0.0,1XB,3.0-4.0,sportsbook,5.095957193094376,5.095957193094376,0.18,0.2792431639735742,True,0.27231904847883737,3.6721632422922945,2.4899970854952214,True,draw,True,0.5
2025-02,data\historical_csv\football-data\2425\I2.csv:259,data\historical_csv\football-data\2425\I2.csv,259,2025-02-16,__UNKNOWN_LIVE_LEAGUE__,Juve Stabia,Cosenza,home,0.4811431133547002,0.46592543512402534,2.176,2.2,1.3853746829879166,0.013217678230674896,5,0.0,WH,2.0-3.0,sportsbook,3.940230583257943,3.940230583257943,0.34,0.477666500842178,True,0.4481010114668499,2.2316396848257933,-2.4932199048134596,False,home,True,0.4
2025-02,data\historical_csv\football-data\2425\I1.csv:250,data\historical_csv\football-data\2425\I1.csv,250,2025-02-17,__UNKNOWN_LIVE_LEAGUE__,Genoa,Venezia,draw,0.28075177030152293,0.2685027202164663,3.695,3.75,-0.7882448800156983,0.010249050085056631,5,0.0,1XB,3.0-4.0,sportsbook,2.8092357896420967,2.8092357896420967,0.1,0.2782387978068798,True,0.2842278487972035,3.518304079743783,5.022190130566684,True,home,False,-0.1
2025-02,data\historical_csv\football-data\2425\D1.csv:200,data\historical_csv\football-data\2425\D1.csv,200,2025-02-21,__UNKNOWN_LIVE_LEAGUE__,Freiburg,Werder Bremen,draw,0.2790610534513509,0.2728275005499503,3.7047999999999996,3.76,1.0771324037455843,0.004233552901400594,5,0.0,1XB,3.0-4.0,sportsbook,2.705410666943073,2.705410666943073,0.1,0.27722255092567233,True,0.2774789174896765,3.6038774010180594,2.8003893515753386,True,home,False,-0.1
2025-02,data\historical_csv\football-data\2425\B1.csv:210,data\historical_csv\football-data\2425\B1.csv,210,2025-02-21,__UNKNOWN_LIVE_LEAGUE__,Mechelen,St Truiden,home,0.5298674055938342,0.5263690888220407,1.98,2.0,4.221079586764054,0.0014983167717934713,5,0.0,WH,1.5-2.0,sportsbook,2.07249295753724,2.07249295753724,0.21,0.515517641199683,True,0.5187408727349371,1.9277447615179026,2.7106928015175447,True,draw,False,-0.21
2025-02,data\historical_csv\football-data\2425\T1.csv:226,data\historical_csv\football-data\2425\T1.csv,226,2025-02-24,__UNKNOWN_LIVE_LEAGUE__,Galatasaray,Fenerbahce,draw,0.2640733738454227,0.2565133064787879,4.0576,4.12,4.082839236832969,0.005560067366634759,5,0.0,1XB,4.0-5.0,sportsbook,6.306676638538687,6.306676638538687,0.21,0.2619939783087014,True,0.27445951938038105,3.6435245615003513,11.364694583783418,True,draw,True,0.64
2025-02,data\historical_csv\football-data\2425\P1.csv:208,data\historical_csv\football-data\2425\P1.csv,208,2025-02-24,__UNKNOWN_LIVE_LEAGUE__,Porto,Guimaraes,draw,0.25531077881714165,0.249296068445147,4.1654,4.4,3.8417843501415305,0.004014710371994622,5,0.05,BFE,4.0-5.0,exchange,4.9310882185519676,4.9310882185519676,0.16,0.25191119272711376,True,0.2714056399740427,3.6845218105844824,13.051305274787751,True,draw,True,0.51
2025-03,data\historical_csv\football-data\2425\SP1.csv:255,data\historical_csv\football-data\2425\SP1.csv,255,2025-03-01,__UNKNOWN_LIVE_LEAGUE__,Betis,Real Madrid,draw,0.23668495787703805,0.23120217697071554,4.3515999999999995,4.42,0.6099393305765588,0.0034827809063225005,5,0.0,1XB,4.0-5.0,sportsbook,3.5482388636571844,3.5482388636571844,0.11,0.23795440496290374,True,0.2559168453270943,3.907519251895563,11.364774412538337,True,home,False,-0.11
