month,decision,reason,prior_candidates,candidate_count,probability_validation,selected,mean_predicted_ev
2021-08,ABSTAIN,model_did_not_beat_market_on_prior_validation,1770.0,84.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1446, 'validation_rows': 324, 'market': {'matches': 108, 'log_loss': 1.011838, 'brier': 0.604902}, 'model': {'matches': 108, 'log_loss': 1.012175, 'brier': 0.60524}, 'log_loss_improvement': -0.000337, 'brier_improvement': -0.000338}",,
2021-09,INVEST,,1854.0,72.0,"{'passed': True, 'reason': None, 'fit_rows': 1446, 'validation_rows': 408, 'market': {'matches': 136, 'log_loss': 0.992135, 'brier': 0.591193}, 'model': {'matches': 136, 'log_loss': 0.991202, 'brier': 0.590818}, 'log_loss_improvement': 0.000933, 'brier_improvement': 0.000375}",7.0,0.0571
2021-10,ABSTAIN,model_did_not_beat_market_on_prior_validation,1905.0,120.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1425, 'validation_rows': 480, 'market': {'matches': 160, 'log_loss': 1.008314, 'brier': 0.60262}, 'model': {'matches': 160, 'log_loss': 1.010374, 'brier': 0.60392}, 'log_loss_improvement': -0.00206, 'brier_improvement': -0.0013}",,
2021-11,ABSTAIN,model_did_not_beat_market_on_prior_validation,1920.0,72.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1320, 'validation_rows': 600, 'market': {'matches': 200, 'log_loss': 0.998036, 'brier': 0.595358}, 'model': {'matches': 200, 'log_loss': 0.998144, 'brier': 0.595506}, 'log_loss_improvement': -0.000108, 'brier_improvement': -0.000148}",,
2021-12,INVEST,,1884.0,51.0,"{'passed': True, 'reason': None, 'fit_rows': 1335, 'validation_rows': 549, 'market': {'matches': 183, 'log_loss': 1.00852, 'brier': 0.604583}, 'model': {'matches': 183, 'log_loss': 1.006067, 'brier': 0.604133}, 'log_loss_improvement': 0.002453, 'brier_improvement': 0.00045}",3.0,0.0818
2022-01,ABSTAIN,no_candidates,,,,,
2022-02,ABSTAIN,no_candidates,,,,,
2022-03,ABSTAIN,no_candidates,,,,,
2022-04,INVEST,,1617.0,102.0,"{'passed': True, 'reason': None, 'fit_rows': 1374, 'validation_rows': 243, 'market': {'matches': 81, 'log_loss': 1.002411, 'brier': 0.602957}, 'model': {'matches': 81, 'log_loss': 0.995466, 'brier': 0.601695}, 'log_loss_improvement': 0.006945, 'brier_improvement': 0.001262}",7.0,0.0732
2022-05,ABSTAIN,model_did_not_beat_market_on_prior_validation,1647.0,123.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1422, 'validation_rows': 225, 'market': {'matches': 75, 'log_loss': 1.012995, 'brier': 0.609738}, 'model': {'matches': 75, 'log_loss': 1.01592, 'brier': 0.613352}, 'log_loss_improvement': -0.002925, 'brier_improvement': -0.003614}",,
2022-06,ABSTAIN,model_did_not_beat_market_on_prior_validation,1698.0,45.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1422, 'validation_rows': 276, 'market': {'matches': 92, 'log_loss': 1.018108, 'brier': 0.614864}, 'model': {'matches': 92, 'log_loss': 1.018891, 'brier': 0.617342}, 'log_loss_improvement': -0.000783, 'brier_improvement': -0.002478}",,
2022-07,ABSTAIN,model_did_not_beat_market_on_prior_validation,1713.0,114.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1443, 'validation_rows': 270, 'market': {'matches': 90, 'log_loss': 1.026555, 'brier': 0.617176}, 'model': {'matches': 90, 'log_loss': 1.032703, 'brier': 0.620133}, 'log_loss_improvement': -0.006148, 'brier_improvement': -0.002957}",,
2022-08,ABSTAIN,model_did_not_beat_market_on_prior_validation,1827.0,96.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1443, 'validation_rows': 384, 'market': {'matches': 128, 'log_loss': 0.992838, 'brier': 0.592724}, 'model': {'matches': 128, 'log_loss': 0.993195, 'brier': 0.592363}, 'log_loss_improvement': -0.000357, 'brier_improvement': 0.000361}",,
2022-09,INVEST,,1923.0,72.0,"{'passed': True, 'reason': None, 'fit_rows': 1443, 'validation_rows': 480, 'market': {'matches': 160, 'log_loss': 0.970999, 'brier': 0.577513}, 'model': {'matches': 160, 'log_loss': 0.969868, 'brier': 0.576942}, 'log_loss_improvement': 0.001131, 'brier_improvement': 0.000571}",5.0,0.0345
2022-10,ABSTAIN,model_did_not_beat_market_on_prior_validation,1995.0,120.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1443, 'validation_rows': 552, 'market': {'matches': 184, 'log_loss': 0.963051, 'brier': 0.572317}, 'model': {'matches': 184, 'log_loss': 0.964632, 'brier': 0.573485}, 'log_loss_improvement': -0.001581, 'brier_improvement': -0.001168}",,
2022-11,INVEST,,2115.0,54.0,"{'passed': True, 'reason': None, 'fit_rows': 1545, 'validation_rows': 570, 'market': {'matches': 190, 'log_loss': 0.966242, 'brier': 0.57551}, 'model': {'matches': 190, 'log_loss': 0.963995, 'brier': 0.574677}, 'log_loss_improvement': 0.002247, 'brier_improvement': 0.000833}",2.0,0.0297
2022-12,ABSTAIN,no_candidates,,,,,
2023-01,ABSTAIN,no_candidates,,,,,
2023-02,ABSTAIN,no_candidates,,,,,
2023-03,ABSTAIN,no_candidates,,,,,
2023-04,INVEST,,1713.0,93.0,"{'passed': True, 'reason': None, 'fit_rows': 1539, 'validation_rows': 174, 'market': {'matches': 58, 'log_loss': 1.00192, 'brier': 0.599959}, 'model': {'matches': 58, 'log_loss': 0.993063, 'brier': 0.595184}, 'log_loss_improvement': 0.008857, 'brier_improvement': 0.004775}",8.0,0.0573
2023-05,ABSTAIN,model_did_not_beat_market_on_prior_validation,1731.0,108.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1584, 'validation_rows': 147, 'market': {'matches': 49, 'log_loss': 1.032245, 'brier': 0.620215}, 'model': {'matches': 49, 'log_loss': 1.032652, 'brier': 0.621091}, 'log_loss_improvement': -0.000407, 'brier_improvement': -0.000876}",,
2023-06,ABSTAIN,model_did_not_beat_market_on_prior_validation,1749.0,66.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1548, 'validation_rows': 201, 'market': {'matches': 67, 'log_loss': 0.956562, 'brier': 0.567111}, 'model': {'matches': 67, 'log_loss': 0.955634, 'brier': 0.567562}, 'log_loss_improvement': 0.000928, 'brier_improvement': -0.000451}",,
2023-07,ABSTAIN,model_did_not_beat_market_on_prior_validation,1716.0,123.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1449, 'validation_rows': 267, 'market': {'matches': 89, 'log_loss': 0.9761, 'brier': 0.580994}, 'model': {'matches': 89, 'log_loss': 0.982021, 'brier': 0.584052}, 'log_loss_improvement': -0.005921, 'brier_improvement': -0.003058}",,
2023-08,ABSTAIN,model_did_not_beat_market_on_prior_validation,1839.0,72.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1449, 'validation_rows': 390, 'market': {'matches': 130, 'log_loss': 0.953326, 'brier': 0.562904}, 'model': {'matches': 130, 'log_loss': 0.962409, 'brier': 0.567239}, 'log_loss_improvement': -0.009083, 'brier_improvement': -0.004335}",,
2023-09,ABSTAIN,model_did_not_beat_market_on_prior_validation,1911.0,75.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1449, 'validation_rows': 462, 'market': {'matches': 154, 'log_loss': 0.960728, 'brier': 0.569494}, 'model': {'matches': 154, 'log_loss': 0.968387, 'brier': 0.573111}, 'log_loss_improvement': -0.007659, 'brier_improvement': -0.003617}",,
2023-10,ABSTAIN,model_did_not_beat_market_on_prior_validation,1986.0,87.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1449, 'validation_rows': 537, 'market': {'matches': 179, 'log_loss': 0.949073, 'brier': 0.561317}, 'model': {'matches': 179, 'log_loss': 0.954213, 'brier': 0.564475}, 'log_loss_improvement': -0.00514, 'brier_improvement': -0.003158}",,
2023-11,ABSTAIN,model_did_not_beat_market_on_prior_validation,2073.0,72.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1542, 'validation_rows': 531, 'market': {'matches': 177, 'log_loss': 0.95109, 'brier': 0.562406}, 'model': {'matches': 177, 'log_loss': 0.95857, 'brier': 0.566565}, 'log_loss_improvement': -0.00748, 'brier_improvement': -0.004159}",,
2023-12,ABSTAIN,model_did_not_beat_market_on_prior_validation,2022.0,30.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1527, 'validation_rows': 495, 'market': {'matches': 165, 'log_loss': 0.952491, 'brier': 0.563284}, 'model': {'matches': 165, 'log_loss': 0.961306, 'brier': 0.567785}, 'log_loss_improvement': -0.008815, 'brier_improvement': -0.004501}",,
2024-01,ABSTAIN,no_candidates,,,,,
2024-02,ABSTAIN,no_candidates,,,,,
2024-03,ABSTAIN,model_did_not_beat_market_on_prior_validation,1767.0,3.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1503, 'validation_rows': 264, 'market': {'matches': 88, 'log_loss': 0.963739, 'brier': 0.57043}, 'model': {'matches': 88, 'log_loss': 0.962546, 'brier': 0.572015}, 'log_loss_improvement': 0.001193, 'brier_improvement': -0.001585}",,
2024-04,ABSTAIN,model_did_not_beat_market_on_prior_validation,1698.0,120.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1506, 'validation_rows': 192, 'market': {'matches': 64, 'log_loss': 1.003639, 'brier': 0.597951}, 'model': {'matches': 64, 'log_loss': 1.004186, 'brier': 0.598618}, 'log_loss_improvement': -0.000547, 'brier_improvement': -0.000667}",,
2024-05,INVEST,,1698.0,129.0,"{'passed': True, 'reason': None, 'fit_rows': 1473, 'validation_rows': 225, 'market': {'matches': 75, 'log_loss': 1.006895, 'brier': 0.597769}, 'model': {'matches': 75, 'log_loss': 0.996699, 'brier': 0.591934}, 'log_loss_improvement': 0.010196, 'brier_improvement': 0.005835}",10.0,0.132
2024-06,INVEST,,1755.0,45.0,"{'passed': True, 'reason': None, 'fit_rows': 1473, 'validation_rows': 282, 'market': {'matches': 94, 'log_loss': 1.046019, 'brier': 0.62824}, 'model': {'matches': 94, 'log_loss': 1.041506, 'brier': 0.6258}, 'log_loss_improvement': 0.004513, 'brier_improvement': 0.00244}",5.0,0.0996
2024-07,INVEST,,1749.0,90.0,"{'passed': True, 'reason': None, 'fit_rows': 1452, 'validation_rows': 297, 'market': {'matches': 99, 'log_loss': 1.039991, 'brier': 0.625324}, 'model': {'matches': 99, 'log_loss': 1.038776, 'brier': 0.623855}, 'log_loss_improvement': 0.001215, 'brier_improvement': 0.001469}",10.0,0.1138
2024-08,ABSTAIN,model_did_not_beat_market_on_prior_validation,1839.0,90.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1452, 'validation_rows': 387, 'market': {'matches': 129, 'log_loss': 1.061646, 'brier': 0.641604}, 'model': {'matches': 129, 'log_loss': 1.063409, 'brier': 0.641999}, 'log_loss_improvement': -0.001763, 'brier_improvement': -0.000395}",,
2024-09,ABSTAIN,model_did_not_beat_market_on_prior_validation,1929.0,96.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1452, 'validation_rows': 477, 'market': {'matches': 159, 'log_loss': 1.03338, 'brier': 0.62095}, 'model': {'matches': 159, 'log_loss': 1.035258, 'brier': 0.621377}, 'log_loss_improvement': -0.001878, 'brier_improvement': -0.000427}",,
