month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,estimator_profile,maximum_odds,validation_rmse_pct,outcome_probability_validation_brier,market_probability_validation_brier,outcome_probability_weight,positive_clv_validation_brier,minimum_positive_clv_probability,average_closing_edge_pct,positive_clv_rate,outcome_counts
2023-10,2023-01-01..2023-09-30,ABSTAIN_INNER_VALIDATION,3564,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2023-11,2023-02-01..2023-10-31,ABSTAIN_INNER_VALIDATION,3548,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2023-12,2023-03-01..2023-11-30,FROZEN_MODEL_EVALUATED,3359,1,1,0.5,-0.5,-100.0,3100.0,575.0,1.0,0.0,ridge,5.0,7.7295,,,0.0,0.219293,0.0,-6.7085,0.0,{'home': 1}
2024-01,2023-04-01..2023-12-31,ABSTAIN_INNER_VALIDATION,3497,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2024-02,2023-05-01..2024-01-31,ABSTAIN_INNER_VALIDATION,3235,0,0,0.0,0.0,0.0,2900.0,,,,,,,,,,,,,,
2024-03,2023-06-01..2024-02-29,ABSTAIN_INNER_VALIDATION,3300,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2024-04,2023-07-01..2024-03-31,ABSTAIN_INNER_VALIDATION,3704,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2024-05,2023-08-01..2024-04-30,FROZEN_MODEL_EVALUATED,4248,2,2,0.35,0.34,97.14,3100.0,254.0,100.0,0.0,ridge,5.0,8.1846,,,0.0,0.223356,0.0,8.3503,1.0,"{'home': 1, 'draw': 1}"
2024-08,2023-11-01..2024-07-31,ABSTAIN_INNER_VALIDATION,3103,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2024-09,2023-12-01..2024-08-31,ABSTAIN_INNER_VALIDATION,3071,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2024-10,2024-01-01..2024-09-30,ABSTAIN_INNER_VALIDATION,2912,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2024-11,2024-02-01..2024-10-31,ABSTAIN_INNER_VALIDATION,2912,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2024-12,2024-03-01..2024-11-30,FROZEN_MODEL_EVALUATED,2812,4,3,0.51,0.97,190.2,3100.0,445.0,100.0,0.0,ridge,5.0,8.0601,,,0.0,0.240986,0.0,8.7595,1.0,"{'draw': 3, 'home': 1}"
2025-01,2024-04-01..2024-12-31,FROZEN_MODEL_EVALUATED,2809,9,6,1.1,0.35,31.82,3100.0,435.0,10.0,0.0,ridge,5.0,8.1908,,,0.0,0.233724,0.0,4.8332,0.8889,"{'draw': 8, 'away': 1}"
2025-02,2024-05-01..2025-01-31,FROZEN_MODEL_EVALUATED,2688,15,8,2.9,1.54,53.1,2800.0,460.0,100.0,0.0,ridge,5.0,7.8635,,,0.0,0.230796,0.0,3.4248,0.8667,"{'draw': 12, 'home': 3}"
