rules,rule_count,max_pairwise_monthly_profit_corr,bets,staked,profit,roi_pct,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate
"['PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28)', 'AVG_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)', 'PS_CLOSE::league|outcome|odds_bucket=FIN|away|[2.8,3.5)']",3,0.1282,1679,1679.0,155.03,9.23,87,66,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28)', 'AVG_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)', 'PS_CLOSE::league|outcome|market_prob_bucket=FIN|away|[0.28,0.34)']",3,0.126,1626,1626.0,148.16,9.11,87,66,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28)', 'PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'PS_CLOSE::league|odds_bucket|market_prob_bucket=NOR|[2.2,2.8)|[0.42,0.55)']",3,0.1404,1736,1736.0,149.88,8.63,80,69,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)', 'PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)', 'PS_CLOSE::league|odds_bucket|market_prob_bucket=NOR|[2.2,2.8)|[0.42,0.55)']",3,0.0573,2028,2028.0,171.24,8.44,85,60,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28)', 'PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)', 'PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)']",3,0.1528,1434,1434.0,120.55,8.41,79,67,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28)', 'PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)', 'AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)']",3,0.1235,2189,2189.0,183.65,8.39,85,67,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28)', 'AVG_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)', 'AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)']",3,0.0923,1819,1819.0,146.43,8.05,79,70,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28)', 'PS_CLOSE::league|outcome|odds_bucket=AUT|away|[1.8,2.2)', 'AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)']",3,0.0889,1408,1408.0,112.55,7.99,79,67,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28)', 'PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)', 'AVG_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)']",3,0.1093,1458,1458.0,114.17,7.83,84,70,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)', 'PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'AVG_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28)']",3,0.1137,2123,2123.0,165.68,7.8,87,67,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)', 'PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'PS_CLOSE::league|odds_bucket|market_prob_bucket=NOR|[2.2,2.8)|[0.42,0.55)']",3,0.0335,1889,1889.0,144.62,7.66,83,61,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)', 'AVG_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)', 'PS_CLOSE::league|odds_bucket|market_prob_bucket=NOR|[2.2,2.8)|[0.42,0.55)']",3,0.0819,2063,2063.0,156.91,7.61,86,64,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)', 'PS_CLOSE::league|outcome|odds_bucket=AUT|away|[1.8,2.2)', 'PS_CLOSE::league|outcome|odds_bucket=FIN|away|[2.8,3.5)']",3,0.1702,1826,1826.0,138.78,7.6,85,63,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)', 'AVG_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28)', 'PS_CLOSE::league|outcome|odds_bucket=FIN|away|[2.8,3.5)']",3,0.1702,2085,2085.0,152.76,7.33,87,67,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)', 'AVG_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28)', 'AVG_CLOSE::league|outcome|odds_bucket=AUT|away|[1.8,2.2)']",3,0.0888,1924,1924.0,141.08,7.33,85,67,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)', 'AVG_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28)', 'PS_CLOSE::league|outcome|market_prob_bucket=FIN|away|[0.28,0.34)']",3,0.1859,2032,2032.0,145.89,7.18,87,67,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)', 'PS_CLOSE::league|outcome|odds_bucket=AUT|away|[1.8,2.2)', 'AVG_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)']",3,0.1382,1750,1750.0,124.81,7.13,91,65,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)', 'PS_CLOSE::league|outcome|odds_bucket=FIN|away|[2.8,3.5)', 'PS_CLOSE::league|odds_bucket|market_prob_bucket=NOR|[2.2,2.8)|[0.42,0.55)']",3,0.1702,1851,1851.0,131.7,7.12,83,62,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)', 'AVG_CLOSE::league|outcome|odds_bucket=AUT|away|[1.8,2.2)', 'PS_CLOSE::league|odds_bucket|market_prob_bucket=NOR|[2.2,2.8)|[0.42,0.55)']",3,0.0601,1690,1690.0,120.02,7.1,88,64,25,14,25,14,0.56
"['AVG_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)', 'AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'AVG_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28)']",3,0.0335,2215,2215.0,155.79,7.03,86,68,25,14,25,14,0.56
"['AVG_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)', 'AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'PS_CLOSE::league|outcome|market_prob_bucket=FIN|away|[0.28,0.34)']",3,0.2154,2102,2102.0,143.61,6.83,90,60,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)', 'AVG_CLOSE::league|odds_bucket|market_prob_bucket=AUT|[4.0,5.0)|[0.20,0.28)', 'PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)']",3,0.1143,2266,2266.0,154.57,6.82,82,72,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)', 'AVG_CLOSE::league|outcome|odds_bucket=AUT|away|[1.8,2.2)', 'AVG_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)']",3,0.1382,1788,1788.0,121.8,6.81,90,65,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)', 'PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)', 'PS_CLOSE::league|odds_bucket|market_prob_bucket=NOR|[2.2,2.8)|[0.42,0.55)']",3,0.0228,1918,1918.0,130.02,6.78,82,63,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|odds_bucket=AUT|away|[1.8,2.2)', 'PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'PS_CLOSE::league|outcome|odds_bucket=FIN|away|[2.8,3.5)']",3,0.0843,1687,1687.0,112.16,6.65,86,62,25,14,25,14,0.56
"['AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'PS_CLOSE::league|outcome|odds_bucket=AUT|away|[1.8,2.2)', 'PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)']",3,0.1166,1644,1644.0,109.01,6.63,86,64,25,14,25,14,0.56
"['AVG_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)', 'AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'AVG_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)']",3,0.0891,2079,2079.0,136.51,6.57,99,60,25,14,25,14,0.56
