month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,estimator_profile,maximum_odds,validation_rmse_pct,outcome_probability_validation_brier,market_probability_validation_brier,outcome_probability_weight,average_closing_edge_pct,positive_clv_rate,outcome_counts
2024-04,2023-10-01..2024-03-31,FROZEN_MODEL_EVALUATED,2768,4,1,0.67,-0.26,-38.81,3000.0,556.0,1.0,0.0,ridge,5.0,8.0525,,,0.0,-0.3725,0.5,"{'away': 2, 'home': 2}"
2024-05,2023-11-01..2024-04-30,ABSTAIN_INNER_VALIDATION,2840,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2024-08,2024-02-01..2024-07-31,ABSTAIN_INNER_VALIDATION,1765,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2024-09,2024-03-01..2024-08-31,ABSTAIN_INNER_VALIDATION,1665,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
2024-10,2024-04-01..2024-09-30,ABSTAIN_INNER_VALIDATION,1692,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2024-11,2024-05-01..2024-10-31,ABSTAIN_INNER_VALIDATION,1616,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
2024-12,2024-06-01..2024-11-30,FROZEN_MODEL_EVALUATED,1823,17,5,3.17,2.06,64.98,3100.0,531.0,1.0,0.25,ridge,5.0,8.2915,,,0.0,-1.459,0.2941,"{'away': 6, 'home': 5, 'draw': 6}"
2025-01,2024-07-01..2024-12-31,FROZEN_MODEL_EVALUATED,2349,11,8,1.37,0.51,37.23,3100.0,486.0,10.0,0.0,ridge,5.0,8.4935,,,0.0,2.7118,0.8182,"{'home': 1, 'draw': 8, 'away': 2}"
2025-02,2024-08-01..2025-01-31,FROZEN_MODEL_EVALUATED,2829,15,9,2.07,1.29,62.32,2800.0,514.0,100.0,0.0,ridge,5.0,8.1509,,,0.0,4.0594,0.9333,"{'away': 1, 'draw': 12, 'home': 2}"
2025-03,2024-09-01..2025-02-28,FROZEN_MODEL_EVALUATED,2947,8,7,1.04,-0.23,-22.12,3100.0,495.0,1.0,0.0,ridge,5.0,7.9244,,,0.0,5.4258,0.875,"{'draw': 7, 'away': 1}"
2025-04,2024-10-01..2025-03-31,FROZEN_MODEL_EVALUATED,2967,9,6,1.23,-0.44,-35.77,3000.0,526.0,1.0,0.0,ridge,5.0,7.8636,,,0.0,1.6824,0.5556,{'draw': 9}
2025-05,2024-11-01..2025-04-30,FROZEN_MODEL_EVALUATED,3013,14,8,3.55,0.87,24.51,3100.0,347.0,1.0,0.0,ridge,5.0,7.5722,,,0.0,2.6181,0.5,"{'draw': 6, 'home': 4, 'away': 4}"
2025-08,2025-02-01..2025-07-31,ABSTAIN_INNER_VALIDATION,1894,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2025-09,2025-03-01..2025-08-31,ABSTAIN_INNER_VALIDATION,1869,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
2025-10,2025-04-01..2025-09-30,ABSTAIN_INNER_VALIDATION,1851,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2025-11,2025-05-01..2025-10-31,FROZEN_MODEL_EVALUATED,1806,16,10,2.14,1.07,50.0,3000.0,524.0,100.0,0.0,ridge,5.0,8.1751,,,0.0,4.8442,0.6875,"{'away': 14, 'home': 2}"
2025-12,2025-06-01..2025-11-30,FROZEN_MODEL_EVALUATED,1983,12,8,1.48,-0.74,-50.0,3100.0,479.0,100.0,0.0,ridge,5.0,7.9532,,,0.0,7.5024,0.75,"{'away': 10, 'home': 2}"
2026-01,2025-07-01..2025-12-31,FROZEN_MODEL_EVALUATED,2455,3,3,0.32,0.1,31.25,3100.0,538.0,100.0,0.25,ridge,5.0,8.124,,,0.0,4.875,0.6667,{'away': 3}
2026-02,2025-08-01..2026-01-31,FROZEN_MODEL_EVALUATED,2988,4,4,0.55,0.7,127.27,2800.0,526.0,100.0,0.0,ridge,5.0,8.2256,,,0.0,7.0268,0.75,"{'away': 3, 'home': 1}"
2026-03,2025-09-01..2026-02-28,ABSTAIN_INNER_VALIDATION,3025,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2026-04,2025-10-01..2026-03-31,FROZEN_MODEL_EVALUATED,3017,7,5,0.96,0.28,29.17,3000.0,428.0,10.0,0.0,ridge,5.0,7.8991,,,0.0,8.6023,0.7143,"{'away': 5, 'home': 2}"
