test_month,date,league,match,outcome,probability,conservative_probability,odds,raw_odds,execution_cost_rate,conservative_ev,execution_bookmaker,reference_bookmakers,reference_dispersion,closing_probability,closing_fair_odds,closing_edge_pct,positive_clv,stake,actual_outcome,profit,won,source_file,source_row
2025-11,2025-11-29,E3,Shrewsbury v Gillingham,home,0.3894132408376038,0.38421889845524826,2.715,2.75,0.0,0.04315430930599895,BMGM,"['B365', 'BFD', 'BFE', 'BV', 'BW', 'CL', 'LB']",0.00019434238235555747,0.38533685557116265,2.5951319878752774,4.6189562875706525,True,0.63,draw,-0.63,False,data\historical_csv\football-data\2526\E3.csv,216
2025-11,2025-11-30,SP2,Cordoba v Cadiz,away,0.26119095272995085,0.2496407418699892,4.273199999999999,4.34,0.0,0.06676481815883761,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.006550210859961645,0.2190449535558316,4.565272944053986,-6.397710446522065,False,0.51,away,1.67,True,data\historical_csv\football-data\2526\SP2.csv,175
2025-11,2025-11-30,B1,Genk v Oud-Heverlee Leuven,draw,0.22395923291226058,0.2104094827585682,5.0131,5.2,0.025,0.05480377801697811,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.008549750153692375,0.23736676081070074,4.2128897769199325,18.994330862012387,True,0.34,home,-0.34,False,data\historical_csv\football-data\2526\B1.csv,127
2026-01,2026-01-04,E2,Wycombe v AFC Wimbledon,away,0.21336422472160071,0.20487928987991716,5.116,5.2,0.0,0.048162447025656085,BMGM,"['B365', 'BFD', 'BFE', 'BV', 'BW', 'CL', 'LB']",0.0023232898944556997,0.20905614583950555,4.783403979750539,6.953124211491035,True,0.29,home,-0.29,False,data\historical_csv\football-data\2526\E2.csv,288
2026-01,2026-01-10,I2,Cesena v Empoli,away,0.25884029669553726,0.24374116284809338,4.2487,4.4,0.025,0.035583078592694495,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.006732755898295908,0.2234130838988453,4.4760135912754775,-5.078483043897597,False,0.27,away,0.88,True,data\historical_csv\football-data\2526\I2.csv,189
2026-01,2026-01-13,D1,Mainz v Heidenheim,away,0.20612508001293894,0.1967140864841622,5.4884,5.58,0.0,0.07964559225967593,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0029406623525178345,0.2081399264761562,4.804460234661208,14.23551724717358,True,0.44,home,-0.44,False,data\historical_csv\football-data\2526\D1.csv,146
2026-01,2026-01-18,B1,Charleroi v Standard,away,0.20688022810156417,0.19573997903582557,5.29975,5.5,0.025,0.037372953895116634,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.004093499377159065,0.22965463846061332,4.354364478344747,21.711217018163566,True,0.22,home,-0.22,False,data\historical_csv\football-data\2526\B1.csv,168
2026-01,2026-01-18,B1,St Truiden v Oud-Heverlee Leuven,away,0.21362610216534558,0.20376188033663856,5.0131,5.2,0.025,0.02147868231560257,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0032428145524713535,0.20846367667681454,4.796998767081712,4.5049257548538835,True,0.13,home,-0.13,False,data\historical_csv\football-data\2526\B1.csv,169
2026-01,2026-01-19,T1,Goztep v Rizespor,away,0.2392388211647393,0.2172991531377611,4.72645,4.9,0.025,0.02705358234797095,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.011293112017985458,0.24523367773387328,4.077743355809378,15.908471612526531,True,0.18,home,-0.18,False,data\historical_csv\football-data\2526\T1.csv,163
2026-01,2026-01-25,T1,Rizespor v Alanyaspor,away,0.25700934579439255,0.25000349831953594,4.535349999999999,4.7,0.025,0.13385336610350707,BFE,"['B365', 'BFD', 'BMGM', 'BW']",0.001337231649904402,0.22669792936681343,4.411156302984702,2.8154453953777248,True,0.95,draw,-0.95,False,data\historical_csv\football-data\2526\T1.csv,170
2026-01,2026-01-31,E2,Wigan v Lincoln,away,0.42891681863156994,0.41897758970307974,2.568,2.6,0.0,0.07593445035750879,BMGM,"['B365', 'BFD', 'BFE', 'BV', 'BW']",0.003292819285660128,0.4368479787485095,2.2891258484583568,12.182560942617249,True,1.21,away,1.9,True,data\historical_csv\football-data\2526\E2.csv,340
2026-02,2026-02-01,B1,Oud-Heverlee Leuven v Mechelen,away,0.26649493568298266,0.2551854596657743,4.0576,4.2,0.025,0.03544052113984564,BFE,"['B365', 'BFD', 'BMGM', 'BW']",0.004206317344805598,0.28727727414817134,3.4809575625680083,16.565626758361994,True,0.29,draw,-0.29,False,data\historical_csv\football-data\2526\B1.csv,185
2026-02,2026-02-07,I2,Modena v Sampdoria,away,0.20679832059933648,0.19106689418235434,5.41,5.5,0.0,0.0336718975265371,B365,"['BFD', 'BFE', 'BMGM', 'BV', 'BW']",0.007154284277988095,0.18227697254228759,5.486156512545784,-1.3881578546224183,False,0.19,away,0.84,True,data\historical_csv\football-data\2526\I2.csv,228
2026-02,2026-02-07,B1,Charleroi v Cercle Brugge,away,0.26080995992985967,0.24852623804968274,4.153149999999999,4.3,0.025,0.03216674555603971,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW']",0.004855814586784624,0.2986622906218457,3.3482633442537955,24.038929229611817,True,0.26,away,0.82,True,data\historical_csv\football-data\2526\B1.csv,188
2026-02,2026-02-21,E3,Notts County v Tranmere,away,0.2054546726108896,0.19416437995006397,5.586399999999999,5.8,0.025,0.08467989215303717,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.004193528440550411,0.1868097911098315,5.353038478652694,4.359421705596267,True,0.46,home,-0.46,False,data\historical_csv\football-data\2526\E3.csv,392
