label,odds_source,train_months,min_train_rows,min_predicted_ev,max_bets_per_day,ridge,candidate_count,selected_candidates,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate
AVG_OPEN_train18_n120_ev0p04_top1_ridge35,AVG_OPEN,18,120,0.04,1,35.0,2063,410,410,512.0,12.49,146.6,27,14,6,3,6,3,0.5
AVG_OPEN_train18_n240_ev0p04_top1_ridge35,AVG_OPEN,18,240,0.04,1,35.0,2063,410,410,512.0,12.49,146.6,27,14,6,3,6,3,0.5
AVG_OPEN_train42_n120_ev0p04_top1_ridge35,AVG_OPEN,42,120,0.04,1,35.0,2063,420,420,478.9,11.4,131.6,24,17,6,3,6,3,0.5
AVG_OPEN_train42_n240_ev0p04_top1_ridge35,AVG_OPEN,42,240,0.04,1,35.0,2063,420,420,478.9,11.4,131.6,24,17,6,3,6,3,0.5
AVG_OPEN_train42_n120_ev0p02_top1_ridge35,AVG_OPEN,42,120,0.02,1,35.0,2063,429,429,485.8,11.32,131.6,24,17,6,3,6,3,0.5
AVG_OPEN_train42_n240_ev0p02_top1_ridge35,AVG_OPEN,42,240,0.02,1,35.0,2063,429,429,485.8,11.32,131.6,24,17,6,3,6,3,0.5
AVG_OPEN_train18_n120_evneg0p01_top1_ridge35,AVG_OPEN,18,120,-0.01,1,35.0,2063,437,437,484.4,11.08,145.3,26,15,6,3,6,3,0.5
AVG_OPEN_train18_n240_evneg0p01_top1_ridge35,AVG_OPEN,18,240,-0.01,1,35.0,2063,437,437,484.4,11.08,145.3,26,15,6,3,6,3,0.5
AVG_OPEN_train18_n120_ev0p0_top1_ridge35,AVG_OPEN,18,120,0.0,1,35.0,2063,430,430,462.7,10.76,145.3,26,15,6,3,6,3,0.5
AVG_OPEN_train18_n240_ev0p0_top1_ridge35,AVG_OPEN,18,240,0.0,1,35.0,2063,430,430,462.7,10.76,145.3,26,15,6,3,6,3,0.5
AVG_OPEN_train18_n120_ev0p04_top3_ridge35,AVG_OPEN,18,120,0.04,3,35.0,2063,834,834,865.6,10.38,179.2,25,16,6,3,6,3,0.5
AVG_OPEN_train18_n240_ev0p04_top3_ridge35,AVG_OPEN,18,240,0.04,3,35.0,2063,834,834,865.6,10.38,179.2,25,16,6,3,6,3,0.5
AVG_CLOSE_train18_n120_ev0p04_top1_ridge35,AVG_CLOSE,18,120,0.04,1,35.0,2044,407,407,415.2,10.2,177.8,23,18,6,3,6,3,0.5
AVG_CLOSE_train18_n240_ev0p04_top1_ridge35,AVG_CLOSE,18,240,0.04,1,35.0,2044,407,407,415.2,10.2,177.8,23,18,6,3,6,3,0.5
AVG_OPEN_train42_n120_evneg0p01_top3_ridge10,AVG_OPEN,42,120,-0.01,3,10.0,2063,941,941,958.6,10.19,186.9,24,17,6,3,6,3,0.5
AVG_OPEN_train42_n240_evneg0p01_top3_ridge10,AVG_OPEN,42,240,-0.01,3,10.0,2063,941,941,958.6,10.19,186.9,24,17,6,3,6,3,0.5
AVG_OPEN_train42_n120_ev0p0_top3_ridge10,AVG_OPEN,42,120,0.0,3,10.0,2063,930,930,931.4,10.02,193.7,24,17,6,3,6,3,0.5
AVG_OPEN_train42_n240_ev0p0_top3_ridge10,AVG_OPEN,42,240,0.0,3,10.0,2063,930,930,931.4,10.02,193.7,24,17,6,3,6,3,0.5
AVG_CLOSE_train18_n120_ev0p02_top1_ridge35,AVG_CLOSE,18,120,0.02,1,35.0,2044,422,422,403.3,9.56,177.8,23,18,6,3,6,3,0.5
AVG_CLOSE_train18_n240_ev0p02_top1_ridge35,AVG_CLOSE,18,240,0.02,1,35.0,2044,422,422,403.3,9.56,177.8,23,18,6,3,6,3,0.5
AVG_CLOSE_train18_n120_ev0p04_top3_ridge35,AVG_CLOSE,18,120,0.04,3,35.0,2044,813,813,717.7,8.83,199.4,26,15,6,3,6,3,0.5
AVG_CLOSE_train18_n240_ev0p04_top3_ridge35,AVG_CLOSE,18,240,0.04,3,35.0,2044,813,813,717.7,8.83,199.4,26,15,6,3,6,3,0.5
AVG_CLOSE_train30_n120_ev0p04_top3_ridge35,AVG_CLOSE,30,120,0.04,3,35.0,2044,867,867,763.0,8.8,185.0,26,15,6,3,6,3,0.5
AVG_CLOSE_train30_n240_ev0p04_top3_ridge35,AVG_CLOSE,30,240,0.04,3,35.0,2044,867,867,763.0,8.8,185.0,26,15,6,3,6,3,0.5
AVG_CLOSE_train18_n120_ev0p04_top3_ridge10,AVG_CLOSE,18,120,0.04,3,10.0,2044,824,824,703.5,8.54,226.8,26,15,6,3,6,3,0.5
AVG_CLOSE_train18_n240_ev0p04_top3_ridge10,AVG_CLOSE,18,240,0.04,3,10.0,2044,824,824,703.5,8.54,226.8,26,15,6,3,6,3,0.5
AVG_CLOSE_train18_n120_ev0p02_top3_ridge35,AVG_CLOSE,18,120,0.02,3,35.0,2044,851,851,725.4,8.52,201.9,26,15,6,3,6,3,0.5
